start,end
3.592,6.312
3.592,6.312
3.592,6.312
3.592,6.664
6.696,7.016
7.048,7.4
7.432,7.624
7.624,7.944
7.976,8.2
8.232,8.52
8.552,8.744
8.68,8.872
8.904,10.28
8.904,11.72
8.904,11.72
10.312,12.072
12.104,12.424
12.456,12.776
12.808,13.032
13.032,13.32
13.32,13.544
13.576,13.864
13.896,14.088
13.992,14.216
14.248,15.048
14.248,15.4
14.248,16.136
15.432,15.656
15.56,15.752
15.752,15.976
16.008,16.136
16.168,16.776
16.808,17.0
16.904,17.128
17.16,17.832
17.864,18.536
18.568,19.976
18.568,19.976
18.568,19.976
18.568,19.976
20.84,21.16
21.192,21.352
21.384,21.512
21.448,21.608
21.544,21.736
21.768,23.016
23.048,24.456
23.048,24.456
24.488,25.16
24.488,25.864
25.192,25.864
25.896,26.568
26.6,27.304
27.336,28.744
28.776,29.448
28.776,30.152
28.776,30.152
29.48,30.152
30.184,31.24
30.184,31.592
30.184,31.592
31.272,31.592
31.624,32.072
32.104,32.424
32.456,32.776
32.808,32.936
32.904,33.064
33.096,33.32
33.32,33.64
33.672,33.992
34.024,34.344
34.376,34.664
34.696,34.888
34.792,35.016
35.048,35.24
35.272,35.496
35.4,35.592
35.528,35.592
35.624,35.72
35.752,37.064
35.752,38.504
35.752,38.504
37.096,38.504
38.536,39.912
39.944,41.32
39.944,41.32
41.352,42.056
41.352,42.056
41.352,42.056
42.088,42.728
42.76,43.24
43.272,43.912
43.944,45.352
45.384,46.76
45.384,46.76
45.384,46.76
46.792,47.464
46.792,48.168
46.792,48.168
47.496,47.816
47.848,48.072
47.976,48.168
48.2,49.256
49.288,49.608
49.64,51.24
51.272,52.68
51.272,52.68
52.712,53.384
52.712,53.384
52.712,53.384
53.416,54.088
54.12,55.496
55.528,56.424
56.456,57.128
57.16,57.832
57.16,57.832
57.864,58.536
57.864,58.536
58.568,59.24
58.568,59.976
59.272,59.976
60.008,61.512
61.544,62.6
62.632,63.144
63.176,63.496
63.528,63.88
63.912,64.072
64.104,64.424
64.424,65.032
65.064,65.608
65.608,66.248
66.28,66.856
66.888,67.464
67.496,68.168
68.2,68.872
68.904,69.576
69.608,70.312
70.344,71.016
71.016,71.464
71.464,71.784
71.816,72.136
72.168,73.544
73.576,74.792
73.576,74.792
74.824,75.496
74.824,76.104
75.528,76.104
76.136,76.712
76.744,77.384
77.416,78.6
78.632,78.824
78.76,78.888
78.824,78.984
79.016,79.144
79.176,79.368
79.272,79.496
79.4,79.592
79.624,81.032
79.624,81.032
79.624,82.44
81.064,82.44
82.472,82.792
82.824,83.432
83.464,83.592
83.56,83.72
83.752,84.36
84.392,85.064
85.096,85.384
85.096,86.312
85.096,86.312
85.416,85.608
85.64,85.96
85.992,86.312
86.344,86.696
86.728,87.048
87.08,87.4
87.432,87.624
87.528,87.752
87.784,89.864
89.896,90.92
90.952,93.736
90.952,94.088
94.12,94.536
94.568,94.888
94.92,95.24
95.272,95.464
95.496,95.72
95.624,95.816
95.752,95.944
95.976,96.392
96.424,96.616
96.552,96.744
96.776,97.448
96.776,97.448
96.776,97.448
97.48,97.8
97.832,98.184
98.216,100.296
99.976,101.352
100.328,100.648
100.68,101.0
101.032,101.352
101.384,102.088
102.12,102.44
102.472,102.888
102.92,103.24
102.92,104.296
102.92,104.296
102.92,104.296
103.272,105.064
105.096,105.416
105.448,105.768
105.8,106.152
106.184,106.472
106.472,106.76
106.792,107.112
107.144,107.464
107.496,107.816
107.848,108.168
108.2,108.392
108.424,108.776
108.68,108.904
108.808,109.0
109.032,110.44
109.032,111.848
109.032,111.848
110.472,111.848
111.88,112.904
111.88,113.256
111.88,113.256
112.936,113.16
113.064,113.256
113.288,113.64
113.672,113.992
114.024,114.344
114.376,114.568
114.472,114.696
114.728,115.4
114.728,115.4
114.728,116.104
115.432,116.104
116.136,116.808
116.136,117.48
116.84,117.48
117.512,118.184
117.512,118.888
118.216,118.888
118.92,119.592
118.92,120.424
119.624,120.424
120.456,121.512
120.456,121.512
120.456,121.864
120.456,121.864
121.544,121.864
121.896,122.376
122.408,122.728
122.76,123.08
123.112,123.336
123.24,123.432
123.464,124.136
124.168,124.872
124.904,125.576
125.608,126.664
126.696,127.464
127.496,128.392
128.424,129.832
129.864,131.24
131.272,131.496
131.528,131.784
131.816,132.104
132.136,132.488
132.52,133.192
133.224,133.896
133.928,134.6
133.928,135.304
133.928,135.304
134.632,134.952
134.984,135.304
135.336,136.744
135.336,136.744
135.336,136.744
136.776,137.8
137.832,138.504
138.536,141.256
138.536,141.256
138.536,141.256
141.288,141.608
141.64,141.96
141.992,142.312
142.344,142.632
142.664,142.888
142.92,143.272
143.304,143.592
143.624,143.816
143.72,143.944
143.976,144.648
143.976,144.648
143.976,145.0
145.032,145.224
145.16,145.352
145.384,145.576
145.608,145.832
145.736,145.928
145.864,146.024
146.056,146.184
146.216,146.408
146.312,146.632
146.664,147.016
147.048,147.72
147.752,148.424
148.456,148.648
148.584,148.776
148.808,149.48
149.512,151.08
151.112,151.304
151.208,151.432
151.464,151.784
151.816,152.136
152.168,152.488
152.52,152.84
152.872,153.192
153.224,153.544
153.576,153.896
153.928,154.248
154.28,154.632
154.664,154.984
155.016,155.368
155.4,155.816
155.848,156.52
156.552,156.968
157.0,157.32
157.352,159.144
159.176,159.496
159.528,159.848
159.88,160.2
160.232,160.52
160.552,160.872
160.904,161.224
161.256,161.48
161.384,161.576
161.608,163.848
161.608,163.848
161.608,163.848
161.608,164.232
164.264,164.584
164.616,164.936
164.968,165.32
165.352,165.672
165.704,166.024
166.056,166.376
166.408,166.728
166.76,168.136
166.76,168.136
166.76,168.136
168.936,169.288
169.32,169.448
169.48,169.672
169.608,169.8
169.704,169.928
169.96,171.4
171.432,172.84
171.432,172.84
171.432,172.84
172.872,173.544
172.872,174.248
172.872,174.248
173.576,174.248
174.28,175.304
175.336,176.072
176.104,177.768
177.8,178.472
177.8,179.176
177.8,179.176
177.8,179.176
178.504,179.176
179.208,180.232
179.208,180.616
179.208,180.616
179.208,180.616
180.264,180.616
180.648,180.968
181.0,181.32
181.352,182.152
182.184,182.504
182.536,182.856
182.888,183.176
183.176,183.432
183.464,183.784
183.816,184.712
184.712,184.872
184.776,185.0
185.032,186.312
185.032,186.312
185.032,186.312
185.032,187.72
186.344,187.72
187.752,189.16
187.752,189.16
189.192,190.568
189.192,190.568
189.192,190.568
189.192,190.568
190.6,190.952
190.6,192.04
190.984,191.304
191.336,191.688
191.72,192.04
192.072,193.064
193.096,193.928
193.96,195.592
195.624,197.032
195.624,197.032
195.624,197.032
195.624,197.032
197.064,198.312
197.064,198.664
197.064,200.136
198.344,198.664
198.696,199.016
199.048,199.4
199.432,199.656
199.688,199.88
199.816,200.008
199.912,200.136
200.168,201.128
201.16,201.384
201.288,201.48
201.416,201.608
201.64,201.96
201.992,202.312
202.344,202.664
202.696,203.016
203.048,203.432
203.464,203.848
203.88,204.328
204.36,204.744
204.776,206.344
206.376,207.144
207.176,208.136
208.168,208.84
208.168,208.84
208.872,209.544
208.872,209.544
209.576,209.896
209.576,210.248
209.928,210.248
210.28,210.696
210.728,211.144
211.176,212.968
213.0,214.184
214.216,214.6
214.632,214.952
214.984,215.304
215.336,215.624
215.656,215.88
215.784,216.008
216.04,216.648
216.68,217.32
217.352,218.024
218.056,218.728
218.76,219.464
219.496,220.168
220.2,220.872
220.904,221.864
221.896,222.92
222.952,223.272
223.304,224.008
224.04,224.36
224.392,224.712
