start,end
0.192,0.608
0.64,1.472
0.64,1.472
1.504,1.728
1.76,1.952
1.984,2.176
2.208,2.368
2.4,2.624
2.656,2.912
2.944,3.168
3.2,3.424
3.456,3.712
3.744,4.512
4.544,4.8
4.832,5.056
5.088,5.344
5.376,5.6
5.632,5.856
5.888,6.144
6.176,6.4
6.432,6.624
6.656,6.88
6.912,7.168
7.2,7.424
7.456,7.68
7.712,7.968
8.0,8.128
8.16,8.32
8.352,8.448
8.48,8.64
8.672,8.8
8.8,8.96
8.96,9.184
9.216,9.44
9.472,9.696
9.728,9.952
9.984,10.144
10.176,10.304
10.336,10.496
10.528,10.592
10.624,10.752
10.752,10.912
10.944,11.136
11.168,11.392
11.424,11.68
11.712,11.936
11.968,12.096
12.128,12.288
12.32,12.448
12.48,12.64
12.672,12.832
12.864,12.992
13.024,13.248
13.28,13.408
13.44,13.664
13.696,13.92
13.952,14.208
14.24,14.464
14.496,14.688
14.72,14.944
14.944,15.168
15.2,15.424
15.456,15.68
15.712,15.936
15.968,16.192
16.224,16.48
16.512,16.736
16.768,16.928
16.928,17.12
17.152,17.376
17.408,17.632
17.664,17.888
17.92,18.144
18.144,18.368
18.4,18.56
18.592,18.848
18.88,19.104
19.136,19.264
19.296,19.552
19.584,19.808
19.84,20.064
20.096,20.352
20.384,20.544
20.576,20.8
20.832,21.088
21.12,21.344
21.376,21.6
21.632,21.888
21.92,22.208
22.24,22.464
22.496,22.752
22.784,23.04
23.072,23.296
23.328,23.584
23.616,23.84
23.872,24.096
24.128,24.352
24.384,24.64
24.672,24.896
24.928,25.152
25.152,25.408
25.44,25.664
25.696,25.888
25.92,26.144
26.176,26.336
26.368,26.56
26.592,26.848
26.88,27.04
27.072,27.296
27.328,27.584
27.616,27.776
27.808,28.032
28.064,28.32
28.352,28.576
28.576,28.8
28.832,29.024
29.056,29.28
29.312,29.536
29.568,29.76
29.792,30.016
30.048,30.272
30.304,30.4
30.432,30.528
30.528,30.752
30.784,31.008
31.04,31.264
31.296,31.488
31.488,31.712
31.744,31.968
32.0,32.256
32.256,32.352
32.352,32.448
32.448,32.672
32.704,32.96
32.992,33.216
33.248,33.408
33.44,33.664
33.696,33.76
33.792,33.888
33.92,34.112
34.144,34.368
34.4,34.592
34.624,34.848
34.88,35.136
35.168,35.392
35.392,35.584
35.616,35.776
35.808,36.032
36.064,36.288
36.32,36.512
36.512,36.768
36.8,37.024
37.024,37.216
37.248,37.44
37.472,37.696
37.728,37.952
37.984,38.24
38.272,38.464
38.496,38.656
38.688,38.88
38.912,39.136
39.168,39.36
39.392,39.616
39.648,39.872
39.872,40.096
40.128,40.352
40.384,40.544
40.576,40.8
40.832,40.928
40.96,41.056
41.088,41.312
41.344,41.568
41.6,41.824
41.824,41.952
41.984,42.08
42.08,42.304
42.336,42.56
42.592,42.816
42.816,42.912
42.944,43.008
43.04,43.232
43.264,43.52
43.552,43.776
43.808,43.84
43.872,43.936
43.968,44.192
44.224,44.448
44.48,44.704
44.736,44.8
44.832,44.928
44.96,45.184
45.216,45.44
45.472,45.728
45.76,45.856
45.888,45.984
46.016,46.24
46.272,46.528
46.56,46.784
46.816,47.04
47.072,47.296
47.328,47.584
47.616,47.84
47.872,48.096
48.128,48.384
48.416,48.64
48.672,48.896
48.928,49.184
49.216,49.408
49.44,49.632
49.664,49.92
49.92,50.144
50.144,50.336
50.368,50.624
50.656,50.88
50.88,51.072
51.104,51.296
51.328,51.552
51.552,51.776
51.808,51.904
51.904,52.032
52.064,52.288
52.32,52.544
52.576,52.8
52.832,52.96
52.992,53.088
53.12,53.344
53.376,53.472
53.504,53.6
53.632,53.888
53.92,54.016
54.016,54.112
54.112,54.336
54.368,54.496
54.528,54.592
54.624,54.816
54.848,55.072
55.104,55.296
55.328,55.552
55.584,55.808
55.84,56.096
56.128,56.416
56.448,56.544
56.576,56.672
56.704,56.96
56.992,57.088
57.12,57.216
57.248,57.472
57.504,57.888
57.92,58.048
58.08,58.24
58.272,58.4
58.432,58.592
58.624,58.752
58.784,58.976
59.008,59.776
59.808,60.032
60.064,60.288
60.32,60.576
60.608,60.96
60.992,61.216
61.248,61.504
61.536,61.76
61.792,62.016
62.048,62.304
62.336,62.56
62.592,62.816
62.848,63.296
63.328,63.808
63.84,65.408
63.84,65.408
63.84,65.408
63.84,65.408
66.912,67.136
67.168,68.128
67.168,68.128
68.16,68.416
68.448,68.672
68.704,68.928
68.96,69.216
69.248,69.472
69.504,69.76
69.792,69.92
69.952,70.048
70.08,70.304
70.336,70.56
70.592,70.848
70.88,71.104
71.136,71.36
71.392,71.648
71.68,71.904
71.936,72.16
72.192,72.48
72.512,72.8
72.832,73.248
73.28,73.504
73.536,73.856
73.888,74.112
74.144,74.368
74.4,74.656
74.688,74.912
74.944,75.168
75.2,75.424
75.456,75.68
75.712,75.936
75.968,76.224
76.256,76.48
76.512,76.736
76.768,77.024
77.056,77.28
77.312,77.536
77.568,77.824
77.856,78.048
78.08,78.208
78.24,78.496
78.528,78.752
78.752,78.976
79.008,79.264
79.296,79.424
79.456,79.616
79.648,79.776
79.808,79.968
80.0,80.128
80.16,80.32
80.352,80.576
80.608,80.704
80.736,80.832
80.864,81.12
81.152,81.376
81.408,81.632
81.664,81.792
81.824,81.92
81.952,82.176
82.208,82.432
82.464,82.72
82.752,82.848
82.848,82.944
82.976,83.2
83.232,83.488
83.52,83.744
83.776,83.872
83.872,83.968
84.0,84.256
84.288,84.512
84.512,84.704
84.736,84.8
84.832,84.96
84.992,85.216
85.248,85.472
85.504,85.728
85.76,85.824
85.856,85.952
85.984,86.208
86.24,86.464
86.496,86.752
86.784,86.88
86.912,87.008
87.008,87.232
87.264,87.392
87.424,87.52
87.552,87.68
87.712,87.808
87.84,87.936
87.968,88.16
88.192,88.288
88.32,88.416
88.416,88.608
88.64,88.864
88.896,89.056
89.088,89.312
89.344,89.504
89.536,89.664
89.696,89.856
89.888,90.016
90.048,90.208
90.24,90.4
90.432,90.752
90.784,90.88
90.912,91.008
91.04,91.296
91.328,91.68
91.712,91.84
91.872,92.032
92.064,92.192
92.224,92.384
92.416,92.576
92.608,92.736
92.768,93.536
93.568,93.728
93.76,94.016
94.048,94.24
94.272,94.496
94.528,94.784
94.816,95.04
95.072,95.296
95.328,95.584
95.616,95.84
95.872,96.096
96.128,96.224
96.256,96.384
96.384,96.608
96.64,96.832
96.864,97.12
97.12,97.28
97.312,97.536
97.568,97.792
97.824,98.08
98.112,98.336
98.368,98.592
98.624,98.848
98.88,99.008
99.04,99.264
99.296,99.552
99.584,99.808
99.84,100.064
100.096,100.352
100.352,100.576
100.608,100.8
100.832,101.088
101.088,101.28
101.312,101.536
101.568,101.824
101.856,102.08
102.112,102.336
102.368,102.624
102.656,102.88
102.912,103.104
103.136,103.36
103.392,103.648
103.68,103.904
103.936,104.16
104.192,104.448
104.48,104.704
104.704,104.928
104.96,105.152
105.184,105.408
105.44,105.664
105.696,105.92
105.952,106.176
106.208,106.432
106.464,106.72
106.752,106.976
107.008,107.232
107.264,107.36
107.392,107.456
107.488,107.712
107.744,107.968
108.0,108.256
108.288,108.512
108.544,108.768
108.8,109.216
109.248,109.344
109.376,109.472
109.504,109.6
109.632,109.728
109.76,109.984
110.016,110.272
110.304,110.528
110.56,110.784
110.816,111.072
111.104,111.328
111.36,111.584
111.616,111.872
111.904,112.16
112.192,112.448
112.48,112.928
112.96,113.184
113.216,113.44
113.472,113.728
113.76,113.952
113.984,114.208
114.208,114.4
114.432,114.656
114.688,114.912
114.944,115.136
115.168,115.392
115.424,115.648
115.68,115.904
115.936,116.192
116.224,116.448
116.48,116.704
116.736,116.96
116.992,117.216
117.216,117.44
117.472,117.696
117.728,117.888
117.92,118.144
118.176,118.4
118.4,118.624
118.656,118.88
118.88,119.136
119.168,119.392
119.424,119.648
119.68,119.936
119.968,120.192
120.224,120.448
120.48,120.736
120.768,120.992
120.992,121.184
121.216,121.472
121.472,121.696
121.728,121.952
121.984,122.208
122.24,122.432
122.464,122.688
122.72,122.944
122.976,123.2
123.232,123.424
123.456,123.648
123.68,123.904
123.936,124.128
124.16,124.384
124.416,124.672
124.704,124.896
124.928,125.12
125.12,125.376
125.408,125.632
125.664,125.888
125.92,126.144
126.176,126.4
126.432,126.656
126.688,126.944
126.976,127.2
127.232,127.456
127.488,127.808
127.84,128.096
128.128,128.224
128.256,128.352
128.384,128.608
128.64,128.928
128.96,129.184
129.216,129.344
129.376,129.504
129.536,129.792
129.824,129.92
129.952,130.048
130.08,130.336
130.368,130.496
130.528,130.624
130.656,130.944
130.976,131.072
131.104,131.232
131.264,131.712
131.744,132.032
132.064,132.48
132.512,133.408
133.44,136.0
133.44,136.0
137.44,137.696
137.728,138.336
137.728,138.336
137.728,138.336
138.368,138.528
138.56,138.752
138.784,138.944
138.976,139.168
139.2,139.36
139.392,139.488
139.52,140.064
139.52,140.064
140.096,140.256
140.288,140.416
140.448,140.64
140.672,140.8
140.832,140.96
140.992,141.12
141.152,141.568
141.6,141.728
141.76,142.08
142.112,142.24
142.272,142.656
142.688,142.816
142.848,143.168
143.2,143.328
143.36,143.744
143.776,143.904
143.936,144.352
144.38400000000001,144.512
144.544,144.736
144.768,144.928
144.96,145.056
145.088,145.248
145.28,145.408
145.44,145.568
145.6,145.76
145.792,145.92
145.952,146.016
146.048,146.464
146.496,146.624
146.656,147.072
147.10399999999998,147.232
147.264,147.648
147.68,147.808
147.84,148.032
148.064,148.224
148.256,148.38400000000001
148.416,148.544
148.576,148.704
148.736,148.864
148.89600000000002,149.056
149.088,149.216
149.248,149.408
149.44,149.568
149.6,149.76
149.792,149.888
149.92,150.048
150.08,150.208
150.24,150.368
150.4,150.528
150.56,150.688
150.72,150.848
150.88,151.072
151.10399999999998,151.232
151.264,151.424
151.456,151.552
151.584,151.712
151.744,151.872
151.904,152.064
152.096,152.256
152.288,152.48
152.512,152.832
152.864,152.992
153.024,153.44
153.472,153.6
153.632,153.952
153.984,154.112
154.144,154.272
154.304,154.496
154.528,154.656
154.688,154.752
154.784,154.944
154.976,155.136
155.168,155.328
155.36,155.488
155.52,155.648
155.68,155.84
155.872,155.968
156.0,156.16
156.16,156.32
156.352,156.48
156.512,156.64
156.672,156.864
156.864,156.96
156.992,157.184
157.216,157.632
157.664,157.76
157.792,158.208
158.24,158.368
158.4,158.816
158.848,158.944
158.976,159.168
159.2,159.36
159.392,159.52
159.552,159.68
159.712,159.84
159.872,160.032
160.064,160.192
