start,end
1.376,1.664
1.696,1.952
1.984,2.208
2.24,2.336
2.368,2.464
2.496,2.592
2.624,2.72
2.752,2.816
2.848,2.944
2.976,3.072
3.104,3.2
3.232,3.456
3.488,3.712
3.744,3.872
3.904,4.0
4.032,4.256
4.288,4.512
4.544,4.672
4.704,4.8
4.832,4.896
4.928,5.024
5.056,5.12
5.152,5.28
5.312,5.376
5.408,5.504
5.536,5.632
5.664,5.76
5.792,5.888
5.92,6.016
6.048,6.144
6.176,6.24
6.272,6.336
6.368,6.496
6.528,6.624
6.656,6.752
6.784,7.136
7.168,7.296
7.328,7.392
7.424,7.52
7.552,7.648
7.68,7.776
7.776,7.872
7.904,7.968
8.0,8.096
8.128,8.224
8.256,8.352
8.384,8.48
8.512,8.608
8.64,8.704
8.736,8.832
8.864,8.96
8.992,9.088
9.088,9.184
9.216,9.312
9.312,9.408
9.44,9.536
9.568,9.696
9.728,9.824
9.856,9.888
9.92,10.016
10.048,10.144
10.176,10.272
10.304,10.4
10.432,10.528
10.56,10.624
10.656,10.72
10.752,10.848
10.88,11.008
11.04,11.136
11.168,11.2
11.232,11.328
11.36,11.424
11.456,11.584
11.616,11.712
11.744,11.84
11.872,11.936
11.968,12.032
12.064,12.32
12.352,12.576
12.608,12.704
12.736,12.832
12.864,12.96
12.992,13.056
13.088,13.184
13.216,13.312
13.344,13.44
13.472,13.6
13.632,13.824
13.856,14.08
14.112,14.24
14.272,14.368
14.4,14.496
14.528,14.624
14.656,14.72
14.752,14.848
14.88,14.976
15.008,15.104
15.136,15.36
15.392,15.648
15.68,15.776
15.808,15.904
15.936,16.032
16.064,16.128
16.16,16.288
16.32,16.416
16.416,16.512
16.544,16.608
16.64,16.736
16.768,16.896
16.928,17.024
17.056,17.152
17.184,17.28
17.312,17.408
17.44,17.568
17.6,17.696
17.696,17.792
17.824,17.92
17.952,18.048
18.048,18.144
18.176,18.272
18.304,18.4
18.4,18.496
18.528,18.624
18.656,18.752
18.784,18.912
18.912,18.976
19.008,19.104
19.136,19.232
19.264,19.36
19.392,19.52
19.552,19.648
19.68,19.904
19.936,20.192
20.224,20.32
20.32,20.416
20.448,20.512
20.544,20.64
20.672,20.768
20.8,20.896
20.928,21.024
21.056,21.152
21.184,21.44
21.472,21.696
21.728,21.824
21.856,21.952
21.984,22.016
22.048,22.176
22.208,22.272
22.304,22.4
22.432,22.528
22.56,22.656
22.688,22.784
22.816,22.912
22.944,23.04
23.072,23.168
23.2,23.456
23.488,23.584
23.616,23.68
23.712,23.808
23.84,23.936
23.968,24.224
24.256,24.352
24.384,24.48
24.512,24.608
24.64,24.736
24.768,25.28
25.312,25.824
25.856,26.176
26.208,26.432
26.464,26.752
26.784,26.88
26.912,27.008
27.04,27.104
27.136,27.264
27.296,27.36
27.392,27.488
27.52,27.616
27.648,27.744
27.776,28.032
28.064,28.288
28.32,28.416
28.448,28.544
28.576,28.832
28.864,29.152
29.184,29.28
29.312,29.44
29.472,29.568
29.6,29.696
29.728,29.76
29.792,29.888
29.92,30.048
30.08,30.144
30.176,30.272
30.304,30.4
30.432,30.528
30.56,30.656
30.688,30.784
30.816,30.912
30.944,30.976
31.008,31.104
31.136,31.232
31.264,31.392
31.424,31.776
31.808,31.904
31.936,32.064
32.096,32.192
32.224,32.288
32.32,32.416
32.448,32.544
32.544,32.64
32.672,32.768
32.8,32.896
32.928,33.024
