start,end
3.856,4.24
4.272,5.136
5.168,6.48
6.512,6.928
6.96,7.664
7.696,8.528
8.56,9.296
9.008,9.296
9.328,10.0
9.328,10.0
10.032,11.248
10.032,11.248
11.28,11.536
11.28,11.536
11.568,12.368
11.568,12.368
12.4,12.816
12.4,13.264
12.848,13.264
13.296,14.064
14.096,14.864
14.096,14.864
14.896,16.048
14.896,16.496
16.08,16.496
16.528,17.232
16.528,17.232
17.264,18.384
17.264,18.8
18.416,18.8
18.832,19.696
18.832,19.696
19.728,20.592
19.728,20.592
20.624,21.264
21.296,21.488
21.52,22.288
22.32,22.704
22.736,23.12
23.152,23.568
23.6,24.016
24.048,24.912
24.944,26.192
26.224,26.608
26.64,27.344
26.64,27.344
27.376,28.176
27.376,28.176
28.208,29.072
29.104,29.488
29.52,29.872
29.904,30.704
30.704,31.28
31.312,31.504
31.536,32.4
31.536,32.4
32.432,33.296
32.432,33.296
33.328,33.968
34.0,34.192
34.224,35.056
34.224,35.056
35.088,35.952
35.088,36.72
35.984,36.496
36.528,36.72
36.752,37.616
36.752,37.616
37.648,38.48
37.648,39.344
38.512,39.12
39.152,39.344
39.376,40.24
39.376,40.24
40.272,41.136
40.272,41.136
41.168,41.584
41.168,41.904
41.584,41.904
41.936,42.064
41.936,42.736
42.096,42.288
42.32,42.736
42.768,43.632
42.768,43.632
43.664,44.08
44.112,44.528
44.56,45.488
45.52,46.8
46.832,47.248
47.28,48.048
47.28,48.048
48.08,48.496
48.08,48.944
48.08,48.944
48.528,48.944
48.976,49.84
49.872,50.832
50.864,51.056
51.088,51.728
51.76,51.952
51.984,52.4
52.432,52.624
52.656,53.52
52.656,53.52
52.656,53.52
53.552,54.384
53.552,54.384
53.552,54.384
54.416,55.088
55.12,55.408
55.44,56.304
55.44,56.304
56.336,56.592
56.624,56.912
56.944,57.2
57.232,58.096
58.128,58.352
58.128,58.928
58.384,58.64
58.672,58.928
58.96,60.272
58.96,60.272
58.96,60.272
60.304,61.296
61.328,62.192
62.224,63.504
63.536,63.952
63.984,64.816
64.848,65.712
65.744,66.448
66.192,66.448
66.48,67.312
66.48,67.312
67.344,68.496
67.344,68.496
68.528,68.848
68.528,68.848
68.88,69.648
68.88,69.648
69.68,70.096
69.68,70.544
70.128,70.544
70.576,71.376
71.408,72.272
71.408,72.272
72.304,73.424
72.304,73.872
73.456,73.872
73.904,74.704
73.904,74.704
74.736,75.888
74.736,76.336
75.92,76.336
76.368,77.232
76.368,77.232
77.264,78.16
77.264,78.16
78.192,78.8
78.832,79.024
79.056,79.888
79.92,80.336
80.368,80.752
80.784,81.2
81.232,81.648
81.68,82.48
82.512,83.76
83.792,84.144
84.144,84.976
84.144,84.976
85.008,85.712
85.008,85.712
85.744,86.576
86.608,86.992
87.024,87.408
87.44,88.24
88.272,88.848
88.88,89.072
89.104,89.968
89.104,89.968
90.0,90.864
90.0,90.864
90.896,91.536
91.568,91.76
91.792,92.656
91.792,92.656
92.688,93.552
92.688,94.352
93.584,94.128
94.16,94.352
94.384,95.248
94.384,95.248
95.28,96.144
95.28,97.04
96.176,96.816
96.848,97.04
97.072,97.904
97.072,97.904
97.936,98.768
97.936,98.768
98.8,99.184
98.8,99.568
99.216,99.568
99.568,99.728
99.568,100.4
99.76,99.952
99.984,100.4
100.432,101.296
100.432,101.296
101.328,101.808
101.84,102.288
102.32,103.216
103.248,104.56
104.592,105.008
105.04,105.904
105.04,105.904
105.936,106.32
105.936,106.768
105.936,106.768
106.352,106.768
106.8,107.664
107.696,108.56
108.592,108.784
108.816,109.456
109.488,109.68
109.712,110.128
110.16,110.32
110.352,111.216
110.352,111.216
110.352,111.216
111.248,112.112
111.248,112.112
111.248,112.112
112.144,112.784
112.816,113.072
113.104,113.968
113.104,113.968
114.0,114.256
114.288,114.544
114.576,114.8
114.832,115.664
115.696,115.952
115.696,116.56
115.984,116.272
116.304,116.56
116.592,117.904
116.592,117.904
116.592,117.904
117.936,118.448
118.48,119.568
119.6,120.912
120.944,121.296
120.944,121.296
121.328,122.192
121.328,122.192
122.224,122.832
122.224,123.28
122.864,123.28
123.312,123.568
123.312,123.568
123.6,124.432
123.6,124.432
124.464,125.264
124.464,125.712
125.296,126.032
125.712,126.032
126.064,126.352
126.064,126.768
126.352,126.768
126.8,127.216
126.8,127.472
127.248,127.472
127.504,127.92
127.952,128.368
128.4,129.264
129.296,130.544
129.296,130.544
129.296,130.544
130.576,130.992
131.024,131.216
131.248,131.44
131.44,131.696
131.696,132.464
131.696,132.464
131.696,132.464
132.496,133.328
132.496,133.328
133.36,133.616
133.36,134.064
133.648,134.064
134.096,134.864
134.096,135.728
134.896,135.728
135.76,136.624
136.656,137.936
136.656,137.936
136.656,137.936
137.968,138.672
138.704,139.568
139.6,140.912
140.944,141.36
141.392,142.16
141.392,142.16
142.192,143.472
142.192,143.472
142.192,143.472
143.504,143.92
143.952,144.816
143.952,144.816
143.952,144.816
144.848,145.712
144.848,145.712
144.848,145.712
145.744,146.192
146.224,146.416
146.448,147.312
146.448,147.312
146.448,147.312
147.344,148.208
147.344,149.104
148.24,148.88
148.912,149.104
149.136,149.968
149.136,149.968
150.0,150.864
150.0,151.312
150.896,151.76
151.344,151.76
151.792,152.656
151.792,152.656
152.688,153.968
152.688,153.968
152.688,153.968
154.0,154.64
154.672,155.536
155.568,156.432
155.568,157.328
156.464,157.104
157.136,157.328
157.36,158.192
158.224,159.056
158.224,159.44
159.088,159.664
159.696,159.888
159.92,160.784
159.92,160.784
159.92,160.784
160.816,161.232
160.816,161.68
161.264,161.68
161.712,162.096
161.712,162.544
162.128,162.544
162.576,162.992
163.024,163.216
163.248,163.44
163.472,164.784
163.472,164.784
163.472,164.784
164.816,165.04
165.072,165.264
165.296,166.32
166.352,166.416
166.448,166.512
166.544,167.856
167.888,168.304
168.336,169.2
168.336,169.2
168.336,169.2
169.232,170.096
169.232,170.096
169.232,170.096
170.128,170.608
170.672,171.056
171.088,171.952
171.088,171.952
171.088,171.952
171.984,172.4
171.984,172.4
172.432,172.88
172.912,173.328
173.36,173.776
173.808,174.224
173.808,174.672
173.808,174.672
174.256,174.672
174.704,175.568
174.704,176.016
175.6,176.304
176.336,176.528
176.56,177.2
177.232,177.296
177.328,177.424
177.456,178.768
178.8,179.088
178.8,179.088
179.12,179.984
179.12,179.984
180.016,180.88
180.016,180.88
180.912,181.328
180.912,181.712
181.328,182.0
181.744,182.448
182.032,182.448
182.48,183.312
182.48,184.208
182.48,184.208
183.344,184.208
184.24,185.2
185.232,186.544
185.232,186.544
186.576,186.96
186.992,187.856
187.888,189.072
189.104,189.328
189.104,189.328
189.36,190.128
189.36,190.128
190.16,190.864
190.16,191.312
190.896,191.312
191.344,191.6
191.344,191.6
191.632,192.368
191.632,192.368
192.4,193.136
192.4,193.488
193.136,193.84
193.488,193.84
193.872,194.224
193.872,194.608
194.224,194.608
194.64,195.056
194.64,195.344
195.088,195.344
195.376,195.76
195.792,196.144
196.176,197.04
197.072,198.352
