start,end
0.666,1.178
0.666,1.178
1.21,1.466
1.21,1.754
1.498,1.754
1.786,2.33
1.786,2.33
2.362,2.874
2.362,2.874
2.906,3.13
3.162,3.418
3.45,3.994
4.026,4.474
4.026,4.474
4.506,5.05
4.506,5.05
5.082,5.562
5.082,5.562
5.594,5.85
5.594,5.85
5.882,6.138
6.17,6.426
6.458,6.682
6.714,6.906
6.938,7.194
7.226,7.706
7.226,7.706
7.738,8.218
7.738,8.218
8.25,8.474
8.25,8.73
8.506,8.602
8.634,8.73
8.762,8.954
8.762,8.954
8.986,9.178
9.21,9.466
9.498,9.658
9.69,9.914
9.946,10.138
10.17,10.682
10.17,10.682
10.714,11.258
10.714,11.258
11.29,11.834
11.29,11.834
11.866,13.69
11.866,13.69
13.722,14.266
13.722,14.266
14.298,14.554
14.298,14.842
14.586,14.842
14.874,15.386
14.874,15.386
15.418,15.962
15.418,15.962
15.994,16.25
16.282,16.538
16.57,17.114
17.146,17.658
17.146,17.658
17.146,17.658
17.69,17.914
17.69,18.202
17.69,18.202
17.946,18.202
18.234,18.81
18.234,18.81
18.234,18.81
18.842,20.986
18.842,20.986
21.018,21.562
21.018,21.562
21.018,21.562
21.594,22.33
22.362,22.906
22.938,23.45
22.938,23.45
22.938,23.45
22.938,23.45
23.482,23.738
23.482,23.738
23.77,24.026
23.77,24.026
24.058,24.602
24.058,24.602
24.634,24.89
24.634,25.114
24.922,25.114
25.146,25.626
25.146,25.626
25.658,26.138
25.658,26.138
26.17,26.426
26.17,26.65
26.458,26.65
26.682,26.938
26.97,27.13
27.162,27.386
27.162,27.674
27.162,27.674
27.418,27.674
27.706,28.218
27.706,28.218
27.706,28.218
28.25,28.794
28.25,28.794
28.826,29.402
28.826,29.402
29.434,30.33
29.434,30.33
29.434,30.33
30.362,31.354
31.386,31.61
31.642,31.898
31.93,32.186
32.218,32.474
32.506,32.73
32.762,32.922
32.954,33.21
33.242,33.498
33.53,33.786
33.786,33.978
34.01,34.266
34.298,34.554
34.586,34.778
34.81,35.066
35.098,35.354
35.386,35.578
35.61,35.834
35.866,36.09
36.09,36.314
36.346,36.602
36.634,36.89
36.922,37.178
37.21,37.466
37.498,37.754
37.786,38.042
38.074,38.362
38.394,38.65
38.394,38.906
38.682,38.906
38.938,39.194
39.226,39.482
39.514,39.77
39.802,40.026
40.058,40.314
40.346,40.57
40.57,40.762
40.794,41.018
41.05,41.306
41.338,41.562
41.594,41.85
41.882,42.074
42.106,42.33
42.362,42.522
42.554,42.778
42.81,43.066
43.098,43.322
43.354,43.578
43.578,43.802
43.834,44.09
44.122,44.378
44.41,44.666
44.698,45.242
44.698,45.242
45.274,45.53
45.274,45.786
45.562,45.786
45.818,46.362
45.818,46.362
46.394,46.938
46.394,46.938
46.97,47.258
47.29,47.546
47.578,48.218
48.25,48.506
48.538,48.794
48.826,49.082
49.114,49.306
49.338,49.562
49.594,49.85
49.882,50.138
50.17,50.362
50.394,50.65
50.682,50.842
50.874,51.066
51.098,51.322
51.354,51.578
51.61,51.866
51.866,52.058
52.09,52.282
52.314,52.57
52.602,52.858
52.89,53.114
53.146,53.37
53.402,53.594
53.626,53.85
53.882,54.426
53.882,54.426
53.882,54.426
54.458,55.002
54.458,55.002
54.458,55.002
55.034,55.546
55.034,55.546
55.578,56.218
55.578,56.218
55.578,56.218
56.25,58.234
56.25,58.234
56.25,58.234
