start,end
1.686,1.878
1.91,2.134
2.166,2.39
2.422,2.614
2.646,2.806
2.838,3.062
3.094,3.254
3.254,3.446
3.478,3.702
3.734,3.926
3.958,4.182
4.214,4.438
4.47,4.662
4.662,4.854
4.886,5.078
5.078,5.27
5.302,5.494
5.526,5.75
5.782,6.006
6.006,6.198
6.23,6.358
6.39,6.614
6.646,6.838
6.87,7.094
7.126,7.35
7.382,7.574
7.606,7.83
7.862,8.086
8.086,8.31
8.342,8.534
8.566,8.79
8.822,9.046
9.078,9.27
9.302,9.558
9.59,9.814
9.846,10.038
10.07,10.294
10.326,10.55
10.582,10.774
10.806,10.998
11.03,11.222
11.254,11.478
11.51,11.638
11.67,11.798
11.83,12.054
12.086,12.278
12.31,12.47
12.502,12.726
12.758,12.95
12.982,13.206
13.238,13.462
13.494,13.686
13.718,13.942
13.942,14.166
14.198,14.422
14.422,14.614
14.646,14.87
14.902,15.126
15.158,15.35
15.382,15.606
15.638,15.862
15.894,16.086
16.118,16.342
16.374,16.566
16.598,16.758
16.79,17.014
17.046,17.238
17.27,17.494
17.526,17.718
17.75,17.974
18.006,18.262
18.294,18.486
18.518,18.838
18.87,19.094
19.126,19.318
19.35,19.574
19.606,19.83
19.83,20.022
20.054,20.278
20.31,20.502
20.534,20.758
20.79,20.982
21.014,21.174
21.206,21.43
21.462,21.654
21.686,21.878
21.91,22.134
22.166,22.358
22.39,22.614
22.646,22.87
22.902,23.094
23.126,23.382
23.414,23.638
23.67,23.862
23.894,24.118
24.15,24.374
24.406,24.63
24.662,24.854
24.886,25.11
25.142,25.366
25.398,25.59
25.622,25.846
25.878,26.102
26.134,26.326
26.358,26.582
26.614,26.934
26.966,27.158
27.19,27.414
27.446,27.67
27.702,27.926
27.958,28.15
28.182,28.406
28.438,28.694
28.726,28.918
28.95,29.174
29.206,29.43
29.462,29.654
29.686,29.91
29.942,30.166
30.198,30.39
30.422,30.646
30.678,30.934
30.966,31.19
31.222,31.414
31.446,31.67
31.702,31.926
31.926,32.118
32.15,32.374
32.406,32.63
32.662,32.854
32.886,33.11
33.142,33.366
33.398,33.558
33.59,33.814
33.846,34.07
34.102,34.326
34.358,34.55
34.582,34.838
34.87,35.094
35.126,35.318
35.35,35.574
35.606,35.83
35.862,36.054
36.086,36.31
36.342,36.566
36.598,36.79
36.822,37.046
37.078,37.238
37.27,37.494
37.526,37.718
37.75,37.974
37.974,38.166
38.198,38.39
38.422,38.646
38.678,38.902
38.934,39.126
39.158,39.382
39.414,39.638
39.67,39.862
39.894,40.118
40.15,40.374
40.406,40.63
40.662,40.854
40.886,41.11
41.142,41.366
41.398,41.59
41.622,41.846
41.878,42.102
42.134,42.326
42.358,42.582
42.614,42.806
42.838,43.03
43.062,43.286
43.318,43.542
43.574,43.766
43.798,43.99
44.022,44.214
44.246,44.47
44.502,44.694
44.726,44.918
44.95,45.11
45.142,45.334
45.366,45.526
45.558,45.75
45.782,45.974
46.006,46.23
46.262,46.486
46.518,46.71
46.742,46.966
46.998,47.702
47.734,48.054
48.086,48.31
48.342,48.534
48.566,48.79
48.822,49.046
49.078,49.27
49.302,49.526
49.558,49.75
49.782,49.974
50.006,50.23
50.262,50.486
50.518,50.742
50.774,50.934
50.934,51.126
51.158,51.382
51.414,51.606
51.638,51.862
51.894,52.118
52.15,52.342
52.374,52.598
52.63,52.854
52.886,53.078
53.11,53.27
53.302,53.526
53.558,53.782
53.782,53.974
54.006,54.23
54.23,54.454
54.486,54.678
54.71,54.966
54.998,55.222
55.254,55.446
55.478,55.702
55.734,55.958
55.99,56.182
56.214,56.438
56.47,56.694
56.726,56.95
56.95,57.142
57.174,57.366
57.398,57.59
57.622,57.814
57.846,58.038
58.07,58.23
58.262,58.454
58.486,58.71
58.742,58.934
58.966,59.158
59.19,59.414
59.446,59.67
59.702,59.894
59.926,60.118
60.15,60.374
60.406,60.63
60.662,60.854
60.886,61.11
61.142,61.366
61.398,61.622
61.654,61.878
61.91,62.134
62.166,62.358
62.39,62.614
62.646,62.838
62.838,63.03
63.094,63.286
63.318,63.51
63.542,63.702
63.734,63.926
63.958,64.182
64.214,64.438
64.47,64.662
64.694,64.918
64.95,65.206
65.238,65.494
65.526,65.75
65.782,66.006
66.038,66.23
66.262,66.454
66.486,66.71
66.71,66.902
66.934,67.126
67.158,67.382
67.414,67.606
67.606,67.798
67.83,68.054
68.086,68.246
68.246,68.438
68.47,68.694
68.726,68.95
68.982,69.174
69.206,69.43
69.462,69.75
69.782,70.006
70.038,70.23
70.262,70.454
70.486,70.71
70.742,70.934
70.966,71.19
71.222,71.446
71.478,71.734
71.766,71.99
72.022,72.246
72.278,72.47
72.502,72.726
72.758,73.014
73.046,73.398
73.43,73.622
73.654,73.878
73.91,74.134
74.166,74.358
74.39,74.614
74.646,74.87
74.902,75.158
75.19,75.414
75.446,75.67
75.702,75.894
75.926,76.15
76.182,76.406
76.438,76.662
76.694,76.886
76.918,77.142
77.174,77.398
77.43,77.622
77.654,77.878
77.91,78.134
78.166,78.358
78.39,78.614
78.646,78.87
78.902,79.094
79.126,79.414
79.446,79.67
79.702,79.926
79.958,80.15
80.182,80.406
80.438,80.63
80.662,80.854
80.886,81.11
81.11,81.334
81.366,81.494
81.526,81.75
81.782,82.006
82.038,82.198
82.23,82.454
82.486,82.678
82.71,82.934
82.966,83.158
83.19,83.414
83.414,83.638
83.67,83.862
83.894,84.118
84.15,84.342
84.374,84.534
84.566,84.79
84.822,85.046
85.078,85.27
85.302,85.494
85.526,85.75
85.782,85.974
86.006,86.23
86.262,86.486
86.518,86.806
86.838,87.062
87.094,87.318
87.35,87.574
87.606,87.798
87.83,88.054
88.086,88.31
88.342,88.534
88.566,88.79
88.822,89.046
89.078,89.27
89.302,89.494
89.526,89.75
89.75,89.974
90.006,90.198
90.23,90.454
90.486,90.71
90.742,91.094
91.126,91.35
91.382,91.606
91.638,91.83
91.862,92.086
92.118,92.342
92.342,92.534
92.566,92.79
92.822,93.046
93.078,93.302
93.334,93.526
93.558,93.782
93.814,94.614
94.646,94.87
94.902,95.094
95.126,95.35
95.382,95.606
95.638,95.83
95.862,96.086
96.118,96.342
96.374,96.598
96.63,96.822
96.854,97.11
97.142,97.366
97.398,97.59
97.622,97.846
97.878,98.102
98.134,98.326
98.358,98.582
98.614,98.838
98.87,99.158
99.19,99.414
99.446,99.67
99.702,99.926
99.958,100.15
100.182,100.374
100.374,100.566
100.598,100.758
100.79,101.014
101.046,101.238
101.27,101.43
101.462,101.686
101.718,101.942
101.974,102.166
102.198,102.422
102.454,102.678
102.71,102.902
102.934,103.126
103.158,103.382
103.414,103.638
103.67,103.894
103.926,104.15
104.182,104.406
104.438,104.63
104.662,104.886
104.918,105.142
105.142,105.302
105.334,105.558
105.59,105.782
105.814,106.006
106.038,106.262
106.294,106.518
106.55,106.774
106.806,106.998
107.03,107.222
107.254,107.478
107.51,107.702
107.734,107.958
107.99,108.214
108.246,108.438
108.47,108.694
108.726,108.95
108.982,109.174
109.206,109.43
109.462,109.686
109.718,109.942
109.974,110.166
110.198,110.422
110.454,110.678
110.678,110.838
110.87,111.094
111.126,111.35
111.382,111.574
111.606,111.83
111.862,112.086
112.118,112.31
112.342,112.566
112.566,112.758
112.79,113.014
113.046,113.238
113.27,113.494
113.526,113.782
113.814,114.006
114.038,114.294
114.326,114.582
114.614,114.806
114.838,115.062
115.094,115.318
115.35,115.542
115.574,115.798
115.83,116.054
116.086,116.31
116.342,116.534
116.566,116.79
116.822,117.046
117.078,117.27
117.302,117.526
117.558,117.782
117.782,117.974
118.006,118.198
118.23,118.422
118.454,118.582
118.614,118.838
118.838,119.062
119.094,119.286
119.318,119.51
119.542,119.766
119.798,120.022
120.054,120.246
120.278,120.502
120.534,120.758
120.79,120.982
121.014,121.302
121.334,121.622
121.654,121.846
121.878,122.23
122.262,122.486
122.518,122.742
122.774,122.966
122.998,123.222
123.254,123.478
123.51,123.638
123.67,123.894
123.926,124.15
124.182,124.31
124.342,124.566
124.598,124.822
124.854,125.046
125.078,125.302
125.334,125.558
125.59,125.782
125.846,126.038
126.07,126.294
126.326,126.55
126.582,126.774
126.806,126.998
127.03,127.222
127.222,127.35
127.382,127.606
127.638,127.862
127.894,128.054
128.086,128.246
128.246,128.438
128.47,128.662
128.694,128.854
128.886,129.046
129.078,129.302
129.334,129.526
129.558,129.782
129.814,130.038
130.07,130.23
130.262,130.454
130.486,130.71
130.742,130.934
130.966,131.19
131.222,131.446
131.478,131.734
131.766,131.99
132.022,132.246
132.278,132.502
132.534,132.726
132.758,132.982
133.014,133.238
133.27,133.526
133.558,133.974
134.006,134.294
134.326,134.55
134.582,134.966
134.998,135.222
135.254,135.446
135.478,135.702
135.734,135.958
135.99,136.214
136.246,136.438
136.47,136.694
136.726,136.95
136.95,137.142
137.174,137.398
137.43,137.654
137.686,137.878
137.91,138.134
138.166,138.39
138.422,138.614
138.646,138.87
138.902,139.126
139.158,139.35
139.382,139.574
139.574,139.766
139.798,140.022
140.054,140.246
140.278,140.502
140.534,140.758
140.79,141.494
141.526,141.718
141.75,141.974
142.006,142.23
142.262,142.486
142.518,142.71
142.742,142.966
142.998,143.222
143.254,143.446
143.478,143.702
143.734,143.99
144.022,144.214
144.246,144.47
144.502,144.694
144.726,144.918
144.95,145.142
145.174,145.366
145.398,145.622
145.654,145.846
145.878,146.038
146.07,146.294
146.326,146.518
146.55,146.774
146.806,147.03
147.03,147.222
147.254,147.414
147.446,147.67
147.67,147.83
147.862,148.086
148.118,148.342
148.374,148.566
148.598,148.822
148.854,149.078
149.11,149.334
149.366,149.526
149.558,149.782
149.814,150.038
150.07,150.23
