start,end
1.696,4.576
1.696,4.576
1.696,4.576
1.696,4.992
5.024,5.344
5.376,5.728
5.76,6.08
6.112,6.432
6.464,6.784
6.816,7.168
7.2,7.424
7.328,7.52
7.552,8.992
7.552,10.464
7.552,10.464
9.024,11.168
11.2,11.52
11.552,11.872
11.904,12.064
12.096,12.352
12.384,12.64
12.672,13.024
13.056,13.248
13.184,13.344
13.376,14.048
13.376,14.432
13.376,15.52
14.464,14.688
14.592,14.784
14.816,15.168
15.2,15.52
15.552,16.64
16.672,16.896
16.8,16.992
17.024,17.632
17.664,18.336
18.368,19.68
18.368,19.68
18.368,19.68
18.368,19.68
20.864,21.184
21.216,21.344
21.376,21.6
21.504,21.664
21.632,21.76
21.792,22.944
22.976,24.192
22.976,24.192
24.224,24.864
24.224,25.376
24.896,25.376
25.408,26.048
26.08,26.784
26.816,28.16
28.192,28.768
28.192,29.504
28.192,29.504
28.8,29.504
29.536,30.624
29.536,30.976
29.536,30.976
30.656,30.976
31.008,31.36
31.392,31.712
31.744,32.032
32.064,32.256
32.192,32.384
32.416,32.768
32.8,32.992
33.024,33.28
33.312,33.632
33.664,34.016
34.048,34.24
34.176,34.368
34.4,34.624
34.656,34.88
34.784,34.976
34.912,34.976
35.008,35.104
35.136,36.576
35.136,37.792
35.136,37.792
36.608,37.792
37.792,39.008
39.04,40.032
39.04,40.032
40.064,40.736
40.064,40.736
40.064,40.736
40.768,41.28
41.312,41.824
41.856,42.4
42.432,43.712
43.744,44.928
43.744,44.928
43.744,44.928
44.96,45.664
44.96,46.4
44.96,46.4
45.696,46.048
46.08,46.272
46.176,46.4
46.432,47.296
47.328,47.392
47.424,48.576
48.608,50.048
48.608,50.048
50.08,50.784
50.08,50.784
50.08,50.784
50.816,51.648
51.68,53.12
53.152,53.856
53.888,54.592
54.624,55.168
54.624,55.168
55.2,55.712
55.2,55.712
55.712,56.416
55.712,57.056
56.416,57.056
57.088,58.528
58.56,59.648
59.68,60.0
60.032,60.384
60.416,60.64
