start,end
5.841,8.721
5.841,8.721
5.841,8.721
5.841,9.137
9.169,9.489
9.521,9.873
9.905,10.225
10.257,10.577
10.609,10.929
10.961,11.313
11.345,11.569
11.473,11.665
11.697,13.137
11.697,14.609
11.697,14.609
13.169,15.313
15.345,15.665
15.697,16.017
16.049,16.209
16.241,16.497
16.529,16.785
16.817,17.169
17.201,17.393
17.329,17.489
17.521,18.193
17.521,18.577
17.521,19.665
18.609,18.833
18.737,18.929
18.961,19.313
19.345,19.665
19.697,20.785
20.817,21.041
20.945,21.137
21.169,21.777
21.809,22.481
22.513,23.825
22.513,23.825
22.513,23.825
22.513,23.825
25.009,25.329
25.361,25.489
25.521,25.745
25.649,25.809
25.777,25.905
25.937,27.089
27.121,28.337
27.121,28.337
28.369,29.009
28.369,29.521
29.041,29.521
29.553,30.193
30.225,30.929
30.961,32.305
32.337,32.913
32.337,33.649
32.337,33.649
32.945,33.649
33.681,34.769
33.681,35.121
33.681,35.121
34.801,35.121
35.153,35.505
35.537,35.857
35.889,36.177
36.209,36.401
36.337,36.529
36.561,36.913
36.945,37.137
37.169,37.425
37.457,37.777
37.809,38.161
38.193,38.385
38.321,38.513
38.545,38.769
38.801,39.025
38.929,39.121
39.057,39.121
39.153,39.249
39.281,40.721
39.281,41.937
39.281,41.937
40.753,41.937
41.937,43.153
43.185,44.177
43.185,44.177
44.209,44.881
44.209,44.881
44.209,44.881
44.913,45.425
45.457,45.969
46.001,46.545
46.577,47.857
47.889,49.073
47.889,49.073
47.889,49.073
49.105,49.809
49.105,50.545
49.105,50.545
49.841,50.193
50.225,50.417
50.321,50.545
50.577,51.441
51.473,51.537
51.569,52.721
52.753,54.193
52.753,54.193
54.225,54.929
54.225,54.929
54.225,54.929
54.961,55.793
55.825,57.265
57.297,58.001
58.033,58.737
58.769,59.313
58.769,59.313
59.345,59.857
59.345,59.857
59.857,60.561
59.857,61.201
60.561,61.201
61.233,62.673
62.705,63.793
63.825,64.145
64.177,64.529
64.561,64.785
64.785,65.137
65.169,65.489
65.521,66.193
66.193,66.737
66.769,67.409
67.441,67.889
67.921,68.593
68.625,69.105
69.137,69.809
69.841,70.545
70.577,71.281
71.313,71.921
71.921,72.529
72.561,72.881
72.913,73.265
73.297,74.737
74.769,76.209
74.769,76.209
76.241,76.945
76.241,77.521
76.977,77.521
77.553,78.257
78.289,78.993
79.025,80.593
80.625,80.817
80.721,80.849
80.817,80.977
81.009,81.233
81.265,81.457
81.361,81.585
81.489,81.713
81.745,83.185
81.745,83.185
81.745,84.657
83.217,84.657
84.689,85.169
85.201,85.745
85.777,85.905
85.841,86.001
86.001,86.609
86.641,87.313
87.345,87.569
87.345,88.529
87.345,88.529
87.569,87.793
87.825,88.145
88.177,88.529
88.561,88.881
88.913,89.265
89.297,89.585
89.617,89.841
89.745,89.969
90.001,92.177
92.209,92.913
92.945,95.857
92.945,96.209
96.241,96.593
96.625,96.945
96.977,97.329
97.361,97.489
97.521,97.649
97.649,97.777
97.681,97.841
97.873,98.193
98.225,98.417
98.353,98.545
98.577,99.281
98.577,99.281
98.577,99.281
99.313,99.633
99.665,100.017
100.049,101.361
101.073,102.225
101.393,101.745
101.777,102.033
102.065,102.225
102.257,102.801
102.833,102.993
103.025,103.249
103.281,103.441
103.281,104.561
103.281,104.561
103.281,104.561
103.473,105.073
105.105,105.457
105.489,105.809
105.841,106.193
106.225,106.545
106.577,106.865
106.865,107.089
107.121,107.313
107.345,107.633
107.665,108.017
108.049,108.241
108.273,108.497
108.401,108.625
108.529,108.753
108.785,110.225
108.785,111.697
108.785,111.697
110.257,111.697
111.729,112.785
111.729,113.169
111.729,113.169
112.817,113.041
112.945,113.169
113.201,113.521
113.553,113.905
113.937,114.257
114.289,114.577
114.417,114.705
114.737,115.441
114.737,115.441
114.737,116.337
115.473,116.337
116.369,117.073
116.369,117.809
117.105,117.809
117.841,118.513
117.841,119.153
118.545,119.153
119.185,119.889
119.185,120.625
119.921,120.625
120.657,121.713
120.657,122.097
120.657,122.097
121.745,122.097
122.129,122.481
122.513,122.865
122.897,123.217
123.249,123.441
123.377,123.537
123.569,124.241
124.273,124.817
124.817,125.521
125.553,126.225
126.289,126.961
126.993,127.697
127.729,129.201
129.233,130.833
130.865,131.217
131.249,131.569
131.601,131.953
131.985,132.305
132.337,133.041
133.073,133.777
133.809,134.513
133.809,135.249
