start,end
2.699,3.819
2.699,4.971
3.851,4.971
5.003,6.123
6.155,7.275
6.155,7.275
7.307,7.755
7.307,8.331
7.787,8.331
8.363,8.843
8.363,9.419
8.875,9.419
9.451,9.931
9.451,10.443
9.963,10.443
10.475,11.243
10.475,12.395
11.275,12.395
12.427,13.547
12.427,13.547
13.579,13.995
13.579,14.539
14.027,14.539
14.571,15.115
14.571,15.691
15.147,15.691
15.723,16.267
15.723,16.843
16.299,16.843
16.875,17.131
16.875,17.707
17.163,17.707
17.739,18.283
17.739,18.859
17.739,18.859
18.315,18.859
18.891,19.435
18.891,19.979
19.467,19.979
20.011,20.459
20.011,21.035
20.491,21.035
21.067,21.611
21.067,22.027
21.643,22.027
22.059,22.603
22.059,23.179
22.059,23.179
22.635,23.179
23.211,24.331
23.211,24.331
24.363,25.483
25.515,26.059
25.515,26.635
26.091,26.635
26.667,27.211
26.667,27.787
27.243,27.787
27.819,28.171
27.819,28.747
28.203,28.747
28.779,29.515
28.779,30.667
29.547,30.667
30.699,31.819
31.851,32.395
31.851,32.971
32.427,32.971
33.003,33.323
33.003,33.899
33.355,33.899
33.931,34.379
33.931,34.923
34.411,34.923
34.923,35.435
34.923,35.947
35.467,35.947
35.979,36.395
35.979,36.971
36.427,36.971
37.003,37.547
37.003,38.123
37.003,38.123
37.579,38.123
38.155,38.699
38.155,39.179
38.731,39.179
39.211,39.755
39.211,40.203
39.787,40.203
40.203,40.715
40.203,41.227
40.747,41.227
41.259,41.803
41.259,42.379
41.259,42.379
41.835,42.379
42.411,42.955
42.411,43.403
42.987,43.403
43.435,43.883
43.435,44.459
43.915,44.459
44.491,44.875
44.491,45.451
44.907,45.451
45.483,46.027
45.483,46.539
45.483,46.539
45.483,46.539
46.059,46.539
46.571,47.115
46.571,47.691
46.571,47.691
46.571,47.691
47.147,47.691
47.723,48.843
47.723,48.843
47.723,48.843
47.723,48.843
48.875,49.995
50.027,51.147
50.603,51.147
51.179,51.723
51.179,52.299
51.179,52.299
51.755,52.299
52.331,52.875
52.331,53.483
52.331,53.483
52.907,53.483
53.515,53.771
53.515,54.635
53.803,54.059
54.091,54.635
54.667,55.211
54.667,55.787
55.243,55.787
55.819,56.363
56.395,56.939
56.971,57.227
57.259,57.515
57.547,57.739
57.739,57.995
58.027,58.283
58.315,58.571
58.603,58.859
58.891,59.147
59.179,61.451
59.179,61.451
59.179,61.451
61.483,62.027
62.059,63.755
63.787,64.043
64.075,64.331
64.363,64.619
64.651,65.195
65.227,66.635
65.227,69.963
66.667,66.827
66.763,66.923
66.955,67.211
67.243,67.499
67.531,68.779
68.811,69.963
69.995,76.907
69.995,76.907
76.939,78.059
76.939,79.211
78.091,79.211
79.243,80.971
81.003,82.123
81.003,82.123
82.155,82.699
82.155,83.275
82.731,83.275
83.307,83.819
83.307,84.363
83.851,84.363
84.395,84.939
84.395,85.451
84.939,85.451
85.483,86.603
85.483,87.531
86.635,87.531
87.563,88.427
87.563,88.427
87.563,88.427
88.459,89.003
88.459,89.579
88.459,89.579
89.035,89.579
89.611,90.059
89.611,90.603
90.091,90.603
90.667,91.147
90.667,91.627
91.147,91.627
91.627,92.555
91.627,93.707
92.587,93.707
93.739,94.859
93.739,94.859
94.891,95.211
94.891,95.787
95.243,95.787
95.819,96.075
95.819,96.651
96.107,96.651
96.683,97.227
96.683,97.803
96.683,97.803
97.259,97.803
97.835,98.955
97.835,98.955
97.835,98.955
98.987,100.107
100.139,100.683
100.139,101.259
100.715,101.259
101.291,101.739
101.291,102.315
101.771,102.315
102.347,102.731
102.347,103.307
102.763,103.307
103.307,104.075
103.307,105.803
104.107,105.227
105.259,106.379
105.835,106.379
106.411,106.827
106.411,107.307
106.859,107.307
107.339,107.691
107.339,108.203
107.691,108.203
108.235,108.587
108.235,109.163
108.619,109.163
109.195,109.739
109.195,110.123
109.195,110.123
109.771,110.123
110.123,110.923
110.123,110.923
110.123,112.075
110.955,112.075
112.107,112.651
112.107,113.227
112.683,113.227
113.259,113.803
113.259,114.379
113.835,114.379
114.411,114.635
114.411,115.211
114.667,115.211
115.243,115.723
115.243,116.299
115.243,116.299
115.755,116.299
116.331,116.587
116.331,117.067
116.587,117.067
117.099,118.187
117.099,118.187
117.099,118.187
118.219,119.339
118.219,119.339
119.371,119.915
119.371,120.491
119.947,120.491
120.523,120.971
120.523,121.547
121.003,121.547
121.579,122.699
121.579,122.699
122.731,123.883
122.731,123.883
123.915,125.035
125.067,125.579
125.067,126.155
125.611,126.155
126.187,126.507
126.187,127.083
126.539,127.083
127.115,128.171
127.115,128.907
128.171,128.907
128.939,130.059
128.939,130.059
130.091,131.211
131.243,132.107
131.243,132.107
132.139,132.619
132.139,133.099
132.651,133.099
133.131,133.579
133.131,134.155
133.611,134.155
134.187,135.083
134.187,135.083
135.115,136.235
135.115,136.235
136.267,137.387
137.419,137.707
137.419,138.187
137.739,138.187
138.187,138.571
138.187,139.083
138.187,139.083
138.603,139.083
139.115,140.235
139.115,140.235
139.115,140.235
140.267,141.387
140.267,141.387
141.419,142.443
141.419,142.443
142.475,143.595
143.627,144.747
143.627,144.747
144.779,145.163
144.779,145.739
145.195,145.739
145.771,146.059
145.771,146.635
146.091,146.635
146.667,147.595
146.667,148.747
147.627,148.747
148.779,149.771
149.355,149.771
149.771,150.251
149.771,150.827
150.283,150.827
150.859,151.243
150.859,151.819
151.275,151.819
151.851,152.395
151.851,152.971
152.427,152.971
153.003,153.547
153.003,153.547
153.579,154.155
154.187,154.731
154.763,155.307
155.339,155.915
155.947,156.491
156.523,157.067
157.099,157.995
158.027,158.571
158.027,158.571
158.027,158.571
158.027,158.571
158.603,158.923
158.955,159.211
159.243,160.235
160.267,160.971
161.003,161.835
161.003,162.123
161.003,162.123
161.003,162.123
161.867,162.123
162.155,163.787
163.819,164.075
164.107,164.267
164.299,164.459
164.395,165.131
165.163,166.859
165.163,167.435
165.163,167.435
166.891,167.051
167.083,167.243
167.275,167.435
167.467,173.739
173.771,174.027
174.059,174.315
174.347,181.163
174.347,181.163
174.347,181.163
