start,end
2.298,2.458
2.49,2.682
2.714,2.874
2.906,3.098
3.13,3.258
3.29,3.482
3.514,3.642
3.674,3.866
3.898,4.058
4.09,4.282
4.314,4.474
4.506,4.698
4.73,4.89
4.922,5.082
5.114,5.306
5.338,5.498
5.53,5.722
5.754,5.818
5.85,5.914
5.946,6.106
6.138,6.298
6.33,6.458
6.49,6.65
6.682,6.874
6.906,7.066
7.098,7.29
7.322,7.386
7.418,7.482
7.514,7.706
7.738,7.866
7.898,8.09
8.122,8.314
8.346,8.506
8.538,8.73
8.762,8.922
8.954,9.018
9.05,9.114
9.146,9.274
9.306,9.37
9.402,9.466
9.466,9.626
9.658,9.754
9.786,9.85
9.882,10.01
10.042,10.138
10.17,10.202
10.234,10.394
10.426,10.618
10.65,10.81
10.842,11.002
11.034,11.226
11.226,11.386
11.418,11.578
11.61,11.77
11.802,11.994
12.026,12.09
12.122,12.186
12.218,12.378
12.41,12.474
12.506,12.538
12.57,12.762
12.794,12.858
12.89,12.922
12.954,13.114
13.146,13.21
13.242,13.274
13.306,13.498
13.53,13.69
13.722,13.914
13.946,14.138
14.17,14.33
14.362,14.554
14.586,14.746
14.778,14.97
15.002,15.226
15.258,15.45
15.482,15.642
15.674,15.866
15.898,16.09
16.122,16.314
16.346,16.506
16.538,16.73
16.762,16.922
16.954,17.146
17.178,17.37
17.402,17.53
17.562,17.754
17.786,17.946
17.978,18.17
18.202,18.33
18.362,18.554
18.586,18.746
18.778,18.97
19.002,19.162
19.194,19.386
19.418,19.578
19.61,19.77
19.802,19.93
19.962,20.154
20.186,20.346
20.378,20.538
20.57,20.762
20.794,20.954
20.986,21.178
21.21,21.37
21.402,21.594
21.626,21.786
21.818,22.01
22.042,22.202
22.234,22.426
22.458,22.618
22.65,22.842
22.874,23.034
23.034,23.226
23.258,23.45
23.482,23.61
23.642,23.834
23.866,24.026
24.058,24.218
24.25,24.41
24.442,24.634
24.666,24.826
24.858,25.05
25.082,25.242
25.274,25.466
25.498,25.658
25.69,25.882
25.914,26.074
26.106,26.266
26.298,26.49
26.522,26.65
26.682,26.842
26.874,27.002
27.034,27.226
27.258,27.418
27.45,27.642
27.674,27.834
27.866,28.058
28.09,28.25
28.282,28.474
28.506,28.666
28.698,28.89
28.922,29.05
29.082,29.274
29.274,29.466
29.498,29.658
29.69,29.882
29.914,30.01
30.042,30.234
30.266,30.426
30.458,30.65
30.682,30.81
30.842,31.034
31.066,31.226
31.258,31.45
31.482,31.546
31.578,31.77
31.802,31.962
31.994,32.154
32.186,32.346
32.378,32.538
32.57,32.762
32.794,32.922
32.954,33.114
33.146,33.306
33.338,33.53
33.562,33.69
33.722,33.914
33.946,34.106
34.138,34.33
34.362,34.522
34.554,34.746
34.778,34.906
34.938,35.066
35.098,35.29
35.322,35.482
35.514,35.706
35.738,35.898
35.93,36.122
36.154,36.314
36.346,36.538
36.57,36.73
36.762,36.954
36.986,37.146
37.178,37.37
37.402,37.562
37.594,37.786
37.818,37.978
38.01,38.17
38.17,38.362
38.394,38.554
38.586,38.778
38.81,38.97
39.002,39.194
39.226,39.386
39.418,39.61
39.642,39.802
39.834,40.026
40.058,40.218
40.25,40.474
40.506,40.666
40.698,40.89
40.922,41.082
41.114,41.306
41.338,41.53
41.562,41.722
41.754,41.946
41.978,42.138
42.17,42.362
42.394,42.554
42.586,42.778
42.81,42.97
43.002,43.194
43.226,43.386
43.418,43.61
43.642,43.802
43.834,44.026
44.058,44.25
44.282,44.506
44.538,44.602
44.634,44.73
44.762,44.922
44.954,45.146
45.178,45.338
45.37,45.562
45.594,45.754
45.786,45.85
45.882,45.978
46.01,46.17
46.202,46.298
46.33,46.394
46.426,46.586
46.618,46.778
46.81,46.938
46.97,47.162
47.194,47.322
47.354,47.45
47.482,47.546
47.578,47.77
47.802,47.866
47.898,47.962
47.994,48.122
48.154,48.314
48.346,48.538
48.57,48.634
48.666,48.698
48.73,48.922
48.954,49.114
49.146,49.306
49.338,49.402
49.434,49.498
49.53,49.658
49.69,49.85
49.882,50.074
50.106,50.266
50.298,50.458
50.49,50.65
50.65,50.81
50.842,50.906
50.938,51.034
51.066,51.194
51.226,51.418
51.418,51.546
51.578,51.77
51.802,51.962
51.994,52.186
52.218,52.346
52.378,52.474
52.506,52.538
52.57,52.73
52.762,52.954
52.986,53.082
53.114,53.306
53.338,53.53
53.562,53.722
53.754,53.914
53.946,54.01
54.042,54.106
54.138,54.33
54.362,54.426
54.458,54.522
54.522,54.682
54.714,54.778
54.81,54.874
54.906,55.034
55.066,55.13
55.162,55.226
55.258,55.418
55.45,55.514
55.546,55.61
55.61,55.802
55.834,55.898
55.93,55.962
55.994,56.186
56.218,56.282
56.314,56.41
56.442,56.602
