start,end
1.896,3.528
1.896,4.04
1.896,4.04
3.56,4.04
4.072,5.16
4.072,5.16
4.072,5.16
4.072,5.16
5.192,6.856
5.192,7.4
5.192,7.4
5.192,7.4
6.888,7.4
7.432,8.488
7.432,8.488
7.432,8.488
7.432,8.488
8.52,10.184
8.52,10.728
8.52,10.728
10.216,10.728
10.76,11.784
10.76,11.784
10.76,11.784
11.816,13.352
11.816,13.352
11.816,13.352
13.384,13.832
13.384,14.632
13.864,14.088
14.12,14.376
14.408,14.632
14.664,14.888
14.664,15.176
14.92,15.176
15.208,15.432
15.464,15.912
15.944,17.512
15.944,18.056
15.944,18.056
17.544,18.056
18.088,19.144
18.088,19.144
18.088,19.144
18.088,19.144
19.176,20.744
19.176,21.256
19.176,21.256
19.176,21.256
20.776,21.256
21.288,22.344
21.288,22.344
21.288,22.344
21.288,22.344
22.376,23.944
22.376,24.488
22.376,24.488
23.976,24.488
24.52,25.544
24.52,25.544
24.52,25.544
24.52,25.544
25.576,26.344
25.576,26.344
25.576,26.344
25.576,26.344
26.376,26.472
26.504,26.6
26.632,28.2
28.232,28.488
28.52,28.936
28.52,28.936
28.52,29.224
29.256,29.48
29.512,30.184
30.216,30.312
30.344,30.472
30.504,31.272
31.304,31.624
31.656,32.136
31.656,32.136
31.656,32.136
31.656,32.392
32.424,32.648
32.68,33.192
32.68,33.192
32.68,33.192
32.68,33.576
33.608,33.864
33.896,34.664
34.696,34.92
34.952,35.464
34.952,35.464
34.952,35.464
34.952,35.72
35.752,36.008
36.04,36.52
36.04,36.872
36.04,36.872
36.904,37.128
36.904,37.128
37.16,37.928
37.16,37.928
37.96,38.216
37.96,38.216
37.96,38.216
38.248,38.76
38.248,38.76
38.248,39.144
39.176,39.432
39.464,39.944
39.464,40.232
40.264,40.488
40.52,41.32
41.352,41.672
41.352,41.672
41.352,41.672
41.352,41.672
41.704,42.184
41.704,42.184
41.704,42.664
41.704,42.664
42.696,42.92
42.952,43.72
43.752,43.848
43.88,43.976
44.008,44.84
44.872,45.192
45.224,45.672
45.224,45.672
45.224,45.672
45.224,45.96
45.992,46.216
46.248,46.76
46.248,46.76
46.248,46.76
46.248,47.112
47.144,47.4
47.432,48.232
48.264,48.488
48.52,49.032
48.52,49.032
48.52,49.032
48.52,49.416
49.448,49.672
49.704,50.248
49.704,50.568
49.704,50.568
50.6,50.856
50.6,50.856
50.888,51.656
50.888,51.656
51.688,52.008
51.688,52.008
51.688,52.008
52.04,52.808
52.04,52.808
52.04,52.808
52.84,53.096
52.84,53.096
52.84,53.096
53.128,54.152
53.128,55.208
53.128,55.208
54.184,54.952
54.984,55.208
55.24,55.752
55.24,55.752
55.24,57.416
57.448,57.704
57.736,58.504
58.536,58.632
58.664,58.76
58.792,59.56
59.592,59.848
59.592,59.848
59.88,60.584
59.88,60.84
60.616,60.84
60.84,61.512
60.84,61.768
61.544,61.768
61.8,62.568
62.6,62.856
62.6,62.856
62.856,63.592
62.856,63.848
63.624,63.848
63.88,64.584
63.88,64.872
64.616,64.712
64.744,64.872
64.904,65.672
65.704,65.896
65.704,65.896
65.928,66.664
65.928,66.664
66.696,66.92
66.696,66.92
66.952,67.72
66.952,67.72
67.752,68.008
67.752,68.008
68.04,68.872
68.04,68.872
68.904,69.256
68.904,69.256
69.288,70.056
69.288,70.056
70.088,70.216
70.248,70.376
70.408,71.176
71.208,71.304
71.336,71.432
71.464,72.232
72.264,72.488
72.264,72.488
72.52,73.192
72.52,73.48
73.224,73.48
73.512,74.28
73.512,74.536
74.312,74.536
74.568,75.336
75.368,75.624
75.368,75.624
75.656,76.424
75.656,76.68
76.456,76.68
76.712,77.416
76.712,77.672
77.448,77.544
77.576,77.672
77.704,78.472
78.504,78.888
78.504,78.888
78.504,78.888
78.92,79.688
78.92,80.04
78.92,80.04
79.72,80.04
80.072,80.904
80.072,81.192
80.072,81.192
80.936,81.032
81.064,81.192
81.224,82.536
82.568,82.792
82.568,82.792
82.824,83.336
82.824,83.336
83.368,83.976
84.008,84.52
84.552,85.064
85.096,85.576
85.608,86.088
86.12,86.632
86.12,86.632
86.664,86.888
86.92,87.176
87.176,87.56
87.592,88.072
88.072,88.52
88.552,88.936
88.968,89.416
88.968,89.416
89.448,89.576
89.608,89.832
89.864,90.344
90.376,90.76
90.792,91.272
91.304,91.528
91.56,91.816
91.848,92.328
92.36,92.872
92.36,92.872
92.904,93.32
92.904,93.608
93.352,93.608
93.64,93.864
93.896,94.12
94.152,94.376
94.408,94.568
94.6,94.728
94.76,94.952
94.984,95.112
94.984,95.112
95.144,95.4
95.432,95.624
95.656,95.88
95.912,96.168
96.2,96.424
96.456,96.616
96.648,96.84
96.84,97.032
97.032,97.192
97.224,97.416
97.448,97.608
97.64,97.768
97.8,97.992
98.024,98.152
98.184,98.344
98.376,98.632
98.664,98.824
98.856,99.016
99.048,99.208
99.24,99.4
99.432,99.592
99.624,99.784
99.816,100.008
100.04,100.2
100.232,100.456
100.488,100.712
100.744,101.0
101.032,101.256
101.288,101.512
101.544,101.704
101.736,101.928
101.96,102.12
102.152,102.344
102.344,102.504
102.536,102.696
102.728,102.984
103.016,103.144
103.176,103.336
103.368,103.528
103.56,103.688
103.72,103.912
103.944,104.136
104.168,104.392
104.424,104.68
104.712,104.936
104.968,105.192
105.224,105.48
105.512,106.152
106.184,106.696
106.728,107.24
107.272,107.752
107.784,108.296
108.328,108.84
108.872,109.384
109.416,109.896
109.928,110.44
110.472,110.92
110.952,111.4
111.432,111.944
111.944,112.36
112.392,112.872
112.904,113.416
113.448,113.96
113.992,114.504
114.536,115.016
115.048,115.464
115.496,115.72
115.752,115.976
116.008,116.264
116.296,116.776
116.808,117.32
117.352,117.864
117.896,118.536
118.568,118.952
118.984,119.208
119.24,119.432
119.464,119.688
119.72,119.912
119.944,120.104
120.104,120.296
120.328,120.488
120.52,120.712
120.712,120.904
120.936,121.096
121.128,121.352
121.384,121.512
121.544,121.768
121.768,121.928
121.96,122.12
122.152,122.344
122.376,122.472
122.504,122.728
122.76,122.984
123.016,123.144
123.144,123.336
123.368,123.496
123.528,123.72
123.752,123.88
123.912,124.136
124.136,124.296
124.328,124.52
124.552,124.808
124.84,125.064
125.096,125.224
125.256,125.448
125.48,125.64
125.672,125.832
125.864,126.056
126.056,126.248
126.28,126.44
126.472,126.664
126.696,126.856
126.856,127.016
127.048,127.208
127.24,127.4
127.432,127.56
127.592,127.816
127.848,128.008
128.008,128.232
128.264,128.488
128.52,128.744
128.776,129.032
129.064,129.288
129.32,129.512
129.544,129.736
129.768,129.896
129.928,130.088
130.12,130.312
130.344,130.472
130.504,130.664
130.696,130.888
130.92,131.08
131.112,131.304
131.336,131.592
131.624,131.848
131.88,132.136
132.168,132.424
132.456,132.744
132.776,133.032
133.064,133.288
133.32,133.544
133.576,133.832
133.864,134.024
134.024,134.216
134.248,134.44
134.472,134.664
134.696,134.856
134.888,135.048
135.08,135.272
135.304,135.4
135.432,135.656
135.688,135.848
135.88,136.072
136.104,136.36
136.392,136.584
136.616,136.808
136.84,136.968
137.0,137.192
137.224,137.416
137.448,137.576
137.608,137.768
137.8,137.992
137.992,138.184
138.216,138.376
138.376,138.6
138.632,138.824
138.856,139.08
139.112,139.368
139.4,139.656
139.688,139.912
139.944,140.2
140.232,140.36
140.392,140.616
140.616,140.808
140.84,141.0
141.032,141.192
141.224,141.384
141.416,141.576
141.608,141.8
141.8,141.96
141.992,142.184
142.216,142.472
142.504,142.696
142.728,142.856
142.888,143.048
143.08,143.24
143.272,143.464
143.496,143.656
143.688,143.816
143.848,144.008
144.04,144.264
144.296,144.52
144.552,144.776
144.808,145.064
145.096,145.32
145.352,145.608
145.64,145.832
145.864,146.024
146.056,146.28
146.312,146.44
146.44,146.632
146.664,146.824
146.856,147.048
147.08,147.208
147.208,147.464
147.496,147.72
147.752,147.976
148.008,148.2
148.2,148.392
148.392,148.584
148.616,148.84
148.872,149.096
149.128,149.448
149.48,149.96
149.992,150.216
150.248,150.504
150.536,150.792
150.824,151.048
151.08,152.552
152.584,152.808
152.84,153.064
153.096,153.352
153.384,153.608
153.64,153.864
153.896,154.152
154.184,154.408
154.44,154.664
154.696,154.952
154.984,155.176
155.208,155.432
155.464,155.688
155.72,155.88
155.912,156.072
156.104,156.328
156.36,156.52
156.52,156.776
156.776,156.968
157.0,157.224
157.256,157.48
157.48,157.64
157.672,157.896
157.928,158.184
158.216,158.44
158.472,158.632
158.664,158.856
158.888,159.048
159.08,159.272
159.304,159.496
159.528,159.72
159.752,159.976
160.008,160.264
160.296,160.424
160.456,160.648
160.68,160.872
160.904,161.064
161.096,161.32
161.352,161.512
161.544,161.704
161.736,161.928
161.928,162.12
162.152,162.376
162.408,162.664
162.696,162.92
162.952,163.176
163.208,163.464
163.496,163.72
163.752,163.976
164.008,164.232
164.264,164.456
164.488,164.648
164.68,164.872
164.904,165.064
165.096,165.32
