start,end
4.293,4.453
4.485,4.613
4.645,4.933
4.965,5.349
5.381,5.669
5.701,6.053
6.085,6.437
6.469,6.757
6.789,7.173
7.205,7.365
7.397,7.557
7.557,7.877
7.909,8.293
8.325,8.677
8.709,8.997
8.709,8.997
9.029,9.349
9.029,9.349
9.381,9.733
9.381,9.733
9.765,10.149
9.765,10.565
10.181,10.341
10.373,10.565
10.597,10.789
10.597,11.205
10.821,11.205
11.237,11.557
11.237,11.941
11.589,11.749
11.781,11.941
11.973,12.261
11.973,12.645
12.293,12.645
12.677,13.381
12.677,13.381
12.997,13.157
13.189,13.381
13.413,13.765
13.797,14.181
13.797,14.181
14.213,14.533
14.213,14.917
14.213,14.917
14.565,14.917
14.949,15.269
14.949,15.653
14.949,15.653
15.301,15.653
15.685,16.005
15.685,16.421
15.685,16.421
16.037,16.197
16.229,16.421
16.453,16.773
16.805,17.093
16.805,17.093
16.805,17.093
17.125,17.445
17.125,17.829
17.125,17.829
17.477,17.637
17.669,17.829
17.861,18.245
18.277,18.629
18.277,18.629
18.277,18.629
18.661,18.853
18.661,19.269
18.661,19.269
18.885,19.045
19.077,19.269
19.301,19.653
19.685,20.069
19.685,20.069
19.685,20.069
20.101,20.421
20.101,20.805
20.101,20.805
20.453,20.613
20.645,20.805
20.837,21.221
21.253,21.605
21.253,21.605
21.637,21.829
21.637,21.829
21.637,21.829
21.637,21.829
21.861,22.021
22.053,22.373
22.405,22.597
22.629,22.789
22.821,22.981
23.013,23.173
23.205,23.365
23.397,23.653
23.397,23.653
23.685,23.845
23.877,24.037
24.069,24.453
24.485,24.773
24.485,24.773
24.805,24.965
24.805,25.093
24.997,25.093
25.125,25.285
25.317,25.509
25.541,25.829
25.861,26.245
25.861,26.245
26.277,26.661
26.277,26.661
26.693,26.853
26.885,27.045
27.077,27.237
27.269,27.397
27.429,27.557
27.589,27.749
27.781,27.941
27.781,27.941
27.781,27.941
27.973,28.101
28.133,28.293
28.325,28.517
28.549,29.029
28.549,29.221
29.061,29.125
29.157,29.221
29.253,29.637
29.253,29.637
29.669,29.829
29.861,30.021
30.053,30.437
30.053,30.821
30.469,30.821
30.853,31.173
30.853,31.589
31.205,31.365
31.397,31.589
31.589,31.781
31.589,32.197
31.813,32.197
32.229,32.613
32.229,32.997
32.645,32.805
32.837,32.997
32.997,33.317
32.997,33.701
33.349,33.701
33.733,34.021
33.733,34.437
34.053,34.213
34.245,34.437
34.469,34.661
34.469,35.077
34.693,35.077
35.109,35.493
35.109,35.845
35.525,35.653
35.685,35.845
35.877,36.229
35.877,36.613
36.261,36.613
36.645,36.901
36.645,37.317
36.933,37.093
37.125,37.317
37.349,37.573
37.349,37.989
37.605,37.989
38.021,38.405
38.021,38.789
38.437,38.597
38.629,38.789
38.821,39.141
38.821,39.525
39.173,39.525
39.557,39.877
39.557,40.261
39.909,40.069
40.101,40.261
40.293,40.517
40.293,40.933
40.549,40.933
40.965,41.317
40.965,41.701
41.349,41.509
41.541,41.701
41.733,42.021
41.733,42.405
42.053,42.405
42.437,42.757
42.437,43.141
42.789,42.949
42.981,43.141
43.173,43.429
43.173,43.845
43.461,43.845
43.877,44.165
43.877,44.549
44.197,44.357
44.389,44.549
44.581,44.869
44.581,45.253
44.901,45.253
45.285,45.637
45.285,45.989
45.669,45.797
45.829,45.989
46.021,46.277
46.021,46.693
46.309,46.693
46.725,47.077
46.725,47.077
47.109,47.269
47.301,47.461
47.493,47.877
47.909,48.261
48.293,48.677
48.709,48.869
48.901,49.061
49.093,49.253
49.285,49.413
49.445,49.573
49.605,49.765
49.797,50.117
49.797,50.117
49.797,50.117
50.149,50.309
50.341,50.501
50.533,50.917
50.949,51.301
51.333,51.717
51.749,51.909
51.941,52.133
52.165,52.293
52.325,52.453
52.485,52.613
52.645,52.805
52.837,53.125
52.837,53.125
52.837,53.125
53.157,53.317
53.349,53.509
53.541,53.733
53.733,53.829
53.861,53.989
54.021,54.149
54.181,54.469
54.181,54.469
54.181,54.469
54.501,54.661
54.693,54.885
54.917,55.045
55.077,55.205
55.237,55.397
55.429,55.589
55.621,55.781
55.621,55.781
55.621,55.781
55.813,56.005
56.037,56.197
56.229,56.389
56.421,56.581
56.613,56.741
56.773,56.901
56.933,57.093
57.125,57.509
57.125,57.509
57.125,57.509
57.541,57.701
57.733,57.925
57.957,58.117
58.149,58.309
58.341,58.533
58.565,58.725
58.757,59.141
58.757,59.141
58.757,59.141
59.173,59.333
59.173,59.333
59.365,59.525
59.365,59.525
59.557,59.941
59.557,59.941
59.973,60.261
59.973,60.261
59.973,60.261
60.293,60.677
60.293,60.677
60.293,60.677
60.709,60.869
60.901,61.093
61.125,61.477
61.509,61.893
61.509,61.893
61.509,61.893
61.925,62.277
61.925,62.277
61.925,62.277
61.925,62.277
62.309,62.661
62.693,63.077
62.693,63.077
62.693,63.077
62.693,63.077
63.109,63.461
63.493,63.877
63.493,63.877
63.493,63.877
63.493,63.877
63.909,64.133
64.165,64.357
64.389,64.741
64.773,65.157
64.773,65.157
64.773,65.157
64.773,65.157
65.189,65.541
65.189,65.541
65.189,65.541
65.189,65.541
65.573,65.733
65.765,65.925
65.957,66.341
66.373,66.693
66.373,66.693
66.373,66.693
66.725,67.045
66.725,67.045
67.077,67.461
67.077,67.461
67.077,67.461
67.077,67.461
67.493,67.749
67.493,67.749
67.493,67.749
67.493,67.749
67.781,68.165
67.781,68.165
68.197,68.581
68.197,68.773
68.613,68.965
68.805,68.965
68.997,69.605
68.997,69.829
69.637,69.829
69.861,70.053
69.861,70.053
70.085,70.373
70.405,70.565
70.597,70.789
70.821,70.981
71.013,71.109
71.141,71.333
71.365,71.525
71.557,71.653
71.685,71.877
71.909,72.005
71.909,72.197
72.037,72.197
72.229,72.293
72.229,72.517
72.325,72.517
72.549,72.709
72.549,72.901
72.741,72.901
72.933,73.125
72.933,73.125
72.933,73.125
73.157,73.317
73.349,73.509
73.541,73.733
73.765,73.925
73.957,74.117
74.149,74.341
74.373,74.533
74.565,74.693
74.725,74.917
74.949,75.045
74.949,75.237
75.077,75.237
75.269,75.397
75.269,75.621
75.429,75.621
75.653,75.813
75.653,76.005
75.845,76.005
76.037,76.229
76.037,76.229
76.261,76.453
76.485,76.645
76.677,76.869
76.901,77.061
77.093,77.253
77.285,77.477
77.509,77.669
77.701,77.861
77.701,77.861
77.893,78.085
78.117,78.277
78.309,78.469
78.501,78.661
78.693,78.885
78.917,79.077
79.109,79.269
79.301,79.493
79.301,79.493
79.525,79.685
79.717,79.877
79.909,80.101
80.133,80.293
80.293,80.453
80.485,80.645
80.677,80.805
80.837,80.997
81.029,81.221
81.253,81.381
81.413,81.573
81.605,81.765
81.797,81.989
82.021,82.181
82.213,82.373
82.405,82.597
82.629,82.885
82.917,83.077
83.109,83.301
83.333,83.461
83.493,83.653
83.685,83.845
83.877,84.037
84.069,84.197
84.229,84.389
84.421,84.549
84.421,84.741
84.581,84.741
84.773,84.837
84.773,85.061
84.869,85.061
85.093,85.253
85.093,85.445
85.285,85.445
85.477,85.669
85.477,85.669
85.477,85.669
85.701,85.861
85.893,86.053
86.085,86.277
86.309,86.469
86.501,86.661
86.693,86.885
86.917,87.077
87.109,87.269
87.301,87.461
87.493,87.589
87.493,87.781
87.621,87.781
87.813,87.909
87.813,88.101
87.941,88.101
88.133,88.293
88.133,88.485
88.325,88.485
88.517,88.709
88.517,88.709
88.741,88.901
88.933,89.093
89.125,89.317
89.349,89.509
89.541,89.701
89.733,89.925
89.957,90.117
90.149,90.309
90.149,90.309
90.341,90.533
90.565,90.725
90.757,90.917
90.949,91.109
91.141,91.333
91.365,91.525
91.557,91.717
91.749,91.941
91.749,91.941
91.973,92.165
92.197,92.357
92.389,92.581
92.613,92.773
92.805,92.965
92.997,93.189
93.221,93.381
93.413,93.573
93.413,93.797
93.605,93.797
93.829,93.957
93.829,94.149
93.989,94.149
94.181,94.309
94.181,94.533
94.341,94.533
94.565,94.725
94.565,94.917
94.757,94.917
94.949,95.333
94.949,95.333
95.365,95.557
95.589,95.781
95.813,96.165
96.197,96.581
96.197,96.581
96.613,96.965
96.613,96.965
