start,end
7.07,7.454
7.07,7.454
7.486,7.87
7.902,8.318
7.902,8.318
8.35,8.542
8.574,8.734
8.766,9.182
9.214,9.598
9.63,10.462
9.63,10.462
10.494,10.846
10.878,11.07
11.102,11.262
11.294,11.486
11.518,11.71
11.742,11.806
11.838,11.934
11.966,12.126
12.158,12.35
12.382,12.574
12.606,12.766
12.798,12.99
13.022,13.15
13.182,13.374
13.406,13.566
13.598,13.79
13.822,13.982
14.014,14.174
14.206,14.366
14.398,14.558
14.59,14.782
14.814,14.942
14.974,15.166
15.198,15.39
15.422,15.582
15.614,15.774
15.806,15.998
16.03,16.222
16.254,16.446
16.478,17.278
16.478,17.278
17.31,17.726
17.31,17.726
17.758,18.142
18.174,18.59
18.174,18.59
18.622,19.134
19.166,19.582
19.166,19.582
19.614,20.03
20.062,20.894
20.062,20.894
20.926,21.534
20.926,21.534
21.566,22.046
22.078,22.462
22.078,22.462
22.494,22.686
22.718,22.91
22.942,23.326
23.358,23.774
23.806,24.638
23.806,24.638
24.67,25.022
25.054,25.246
25.278,25.47
25.502,25.694
25.726,25.886
25.918,26.014
26.046,26.11
26.142,26.334
26.366,26.558
26.59,26.75
26.782,26.974
27.006,27.198
27.198,27.326
27.358,27.55
27.582,27.774
27.806,27.998
28.03,28.126
28.158,28.35
28.382,28.542
28.574,28.766
28.798,28.958
28.99,29.15
29.182,29.374
29.406,29.566
29.598,29.726
29.758,29.95
29.982,30.174
30.206,30.366
30.398,30.59
30.622,31.454
30.622,31.454
31.486,31.87
31.486,31.87
31.902,32.318
32.35,32.734
32.35,32.734
32.766,33.342
33.374,33.758
33.374,33.758
33.79,34.238
34.27,35.102
34.27,35.102
35.134,35.646
35.134,35.646
35.678,36.254
36.286,36.67
36.286,36.67
36.702,36.894
36.926,37.118
37.15,37.31
37.15,37.534
37.342,37.534
37.566,37.758
37.79,37.95
37.982,38.398
37.982,38.814
38.43,38.814
38.846,39.038
38.846,39.262
39.07,39.262
39.294,39.486
39.518,39.742
39.774,39.966
39.774,40.19
39.998,40.19
40.222,40.382
40.414,40.606
40.638,40.83
40.862,41.054
41.086,41.246
41.278,41.47
41.502,41.694
41.726,41.918
41.95,42.11
42.142,42.334
42.366,42.494
42.526,42.686
42.718,42.878
42.91,43.102
43.134,43.326
43.358,43.518
43.55,43.742
43.742,43.934
43.966,44.126
44.158,44.286
44.318,44.478
44.51,44.702
44.734,44.83
44.862,45.054
45.086,45.278
45.31,45.502
45.534,45.694
45.726,45.918
45.95,46.046
46.078,46.27
46.302,46.462
46.494,46.686
46.718,46.91
46.942,47.102
47.134,47.55
47.582,48.03
48.062,49.086
49.118,49.534
49.118,49.534
49.566,49.95
49.982,50.43
49.982,50.43
50.462,50.622
50.654,50.846
50.878,51.294
51.326,51.71
51.742,52.574
51.742,52.574
52.606,52.926
52.958,53.118
53.15,53.342
53.374,53.566
53.598,53.79
53.822,53.886
53.918,53.982
54.014,54.206
54.238,54.43
54.462,54.622
54.654,54.846
54.878,55.07
55.07,55.23
55.262,55.422
55.454,55.646
55.678,55.87
55.902,56.062
56.094,56.222
56.254,56.446
56.478,56.606
56.638,56.798
56.83,57.022
57.054,57.246
57.246,57.438
57.47,57.63
57.63,57.79
57.822,58.014
58.046,58.238
58.27,58.43
58.462,59.294
58.462,59.294
59.326,59.742
59.326,59.742
59.774,60.158
60.19,60.606
60.19,60.606
60.638,61.182
61.214,61.63
61.214,61.63
61.662,62.046
62.078,62.91
62.078,62.91
62.942,63.294
63.326,63.486
63.518,63.71
63.742,63.934
63.966,64.35
64.382,64.574
64.382,64.798
64.606,64.798
64.83,64.99
64.83,65.182
65.022,65.182
65.214,65.406
65.214,65.598
65.438,65.598
65.63,65.79
65.63,66.43
65.822,65.982
66.014,66.206
66.238,66.43
66.462,66.622
66.654,66.846
66.878,67.038
67.07,67.23
67.262,67.454
67.486,67.646
67.678,67.838
67.87,68.03
68.062,68.254
68.286,68.446
68.478,68.67
68.702,68.862
68.894,69.086
69.118,69.31
69.31,69.438
69.47,69.63
69.662,69.854
69.886,70.078
70.11,70.238
70.27,70.462
70.494,70.91
70.91,71.038
70.91,71.262
71.07,71.262
71.294,71.486
71.294,71.678
71.518,71.678
71.71,71.838
71.71,72.062
71.87,72.062
72.094,72.286
72.094,72.926
72.318,72.478
72.51,72.702
72.734,72.926
72.958,73.15
73.182,73.342
73.374,73.47
73.502,73.694
73.726,73.886
73.918,74.078
74.11,74.302
74.334,74.526
74.558,74.686
74.718,74.878
74.91,75.07
75.102,75.294
75.326,75.486
75.518,75.71
75.742,75.934
75.966,76.126
76.158,76.318
76.158,76.51
76.35,76.51
76.51,76.702
76.734,76.894
76.926,77.118
76.926,77.694
77.15,77.278
77.31,77.502
77.534,77.694
77.726,77.918
77.726,78.142
77.95,78.142
78.174,78.558
78.366,78.558
78.59,79.422
78.59,79.422
79.454,79.646
79.678,79.87
79.902,80.062
80.094,80.286
80.318,80.51
80.542,80.67
80.702,80.894
80.926,81.118
81.15,81.342
81.374,81.534
81.566,81.758
81.79,81.982
82.014,82.846
82.014,82.846
82.878,83.23
82.878,83.23
83.262,83.678
83.71,84.094
83.71,84.094
84.126,84.318
84.35,84.51
84.542,84.926
84.958,85.342
85.374,85.694
85.374,85.694
85.726,85.918
85.95,86.11
86.142,86.334
86.366,86.558
86.59,86.75
86.782,86.91
86.942,87.102
87.134,87.326
87.358,87.486
87.518,87.678
87.71,88.318
87.71,88.542
88.35,88.542
88.574,89.406
88.574,89.406
88.574,89.406
89.438,89.854
89.438,89.854
89.886,90.27
90.302,90.718
90.302,90.718
90.75,90.942
90.974,91.166
91.198,91.582
91.614,92.03
92.062,92.894
92.062,92.894
92.926,93.214
93.246,93.438
93.47,93.662
93.694,93.886
93.918,94.078
94.11,94.206
94.238,94.302
94.334,94.526
94.558,94.75
94.782,94.942
94.974,95.166
95.198,95.39
95.39,95.518
95.55,95.742
95.774,95.966
95.998,96.19
96.222,96.35
96.382,96.542
96.574,96.766
96.798,96.926
96.958,97.118
97.15,97.342
97.374,97.566
97.598,97.758
97.79,97.918
97.918,98.11
98.142,98.334
98.366,98.526
98.558,98.75
98.782,99.614
98.782,99.614
99.646,100.03
99.646,100.03
100.062,100.478
100.51,100.894
100.51,100.894
100.926,101.502
101.534,101.918
101.534,101.918
101.95,102.366
102.398,103.23
102.398,103.23
103.262,103.678
103.71,103.902
103.934,104.126
104.158,104.35
104.382,104.542
104.574,104.766
104.798,104.99
105.022,105.182
105.182,105.342
105.374,105.534
105.566,105.726
105.758,105.918
105.95,106.142
106.142,106.334
106.366,106.526
106.558,106.718
106.75,106.846
106.878,107.07
107.102,107.23
107.262,107.454
107.486,107.646
107.678,107.87
107.902,108.062
108.062,108.254
108.254,108.446
108.478,108.606
108.638,108.798
108.83,108.958
108.99,109.182
109.214,109.374
109.406,109.566
109.566,109.758
109.79,109.982
110.014,110.174
110.206,110.366
110.398,110.59
110.622,110.814
110.846,111.006
111.038,111.166
111.198,111.358
111.39,111.55
111.582,111.774
111.806,111.966
111.998,112.19
112.222,112.382
112.414,112.606
112.638,112.798
112.83,113.022
113.022,113.118
113.15,113.342
113.374,113.566
113.566,113.758
113.79,113.95
113.982,114.174
114.206,114.398
114.398,114.526
114.558,114.718
114.75,114.91
114.942,115.134
115.166,115.326
115.358,115.55
115.582,115.742
115.774,115.934
115.934,116.094
116.126,116.286
116.318,116.51
116.542,116.702
116.734,116.894
116.926,117.054
117.086,117.278
117.31,117.47
117.502,117.694
117.726,117.886
117.918,118.078
118.11,118.27
118.302,118.462
118.462,118.622
118.654,118.814
118.846,118.974
119.006,119.198
119.23,119.422
119.454,119.614
119.614,119.742
119.774,119.966
119.998,120.19
120.222,120.35
120.382,120.574
120.574,120.734
120.766,120.926
120.958,121.15
121.15,121.31
121.342,121.534
121.566,121.662
121.694,121.886
121.918,122.11
122.142,122.334
122.366,122.526
122.558,122.718
122.75,122.91
122.942,123.102
123.134,123.262
123.294,123.486
123.518,123.71
123.742,123.902
123.902,124.062
124.094,124.286
124.318,124.51
124.542,124.67
124.702,124.798
124.83,125.022
125.054,125.214
125.246,125.438
125.47,125.63
125.662,125.854
125.886,126.046
126.078,126.238
126.27,126.462
126.494,126.654
126.686,126.814
126.846,127.006
127.038,127.486
127.038,127.71
127.518,127.71
127.742,128.574
127.742,128.574
127.742,128.574
128.606,128.99
128.606,128.99
128.606,128.99
129.022,129.438
129.47,129.854
129.47,129.854
129.886,130.078
130.11,130.302
130.334,130.718
130.75,131.198
131.23,132.03
131.23,132.03
132.062,132.446
132.478,132.67
132.702,132.894
132.926,133.086
133.118,133.31
133.342,133.406
133.438,133.534
133.566,133.758
133.79,133.95
133.982,134.174
134.206,134.398
134.43,134.59
134.622,134.75
134.782,134.974
135.006,135.166
135.198,135.358
135.39,135.55
135.582,135.774
135.806,135.998
135.998,136.126
136.158,136.35
136.382,136.542
136.574,136.734
136.766,136.926
136.958,137.118
137.118,137.31
137.342,137.47
137.502,137.694
137.726,137.918
137.95,138.782
137.95,138.782
138.814,139.198
138.814,139.198
139.23,139.678
139.71,140.094
139.71,140.094
140.126,140.638
140.67,141.054
140.67,141.054
141.086,141.566
141.598,142.398
141.598,142.398
142.43,142.654
142.43,142.654
142.686,142.878
142.686,142.878
142.91,143.294
142.91,143.294
143.326,143.518
143.326,143.518
143.55,143.742
143.55,143.742
143.774,144.158
143.774,144.158
144.19,144.382
144.19,144.382
144.414,144.606
144.414,144.606
144.638,145.086
144.638,145.086
145.118,146.206
145.118,146.206
146.238,146.43
146.462,146.654
146.686,146.846
146.878,147.07
147.102,147.294
147.326,147.486
147.518,147.71
147.742,147.934
147.966,148.158
148.19,148.35
148.382,148.574
148.606,148.798
148.83,149.214
148.83,149.662
149.246,149.662
149.694,149.854
149.694,149.854
149.886,150.078
150.11,150.302
150.334,150.526
150.558,150.718
150.75,150.942
150.974,151.294
150.974,151.294
151.326,151.486
151.326,151.71
151.518,151.71
151.742,152.126
151.742,152.126
151.742,152.126
152.158,152.35
152.158,152.574
152.158,152.574
152.158,152.574
152.382,152.574
152.606,152.798
152.83,152.99
153.022,153.214
153.022,153.214
153.022,153.214
153.246,153.47
153.502,153.886
153.918,154.11
153.918,154.11
153.918,154.11
154.142,154.334
154.366,154.846
154.878,155.07
154.878,155.07
155.102,155.294
155.326,155.71
155.742,156.574
155.742,156.574
155.742,156.574
156.606,156.798
156.606,156.798
156.83,156.99
157.022,157.598
157.63,157.822
157.854,158.046
157.854,158.046
158.078,158.238
158.27,158.462
158.494,158.686
158.718,158.91
158.718,158.91
158.942,159.102
159.134,159.326
159.358,159.55
159.582,159.742
159.582,160.382
159.774,159.966
159.998,160.158
160.19,160.382
160.414,160.542
160.574,160.766
160.798,160.99
160.798,161.214
161.022,161.214
161.246,161.406
161.246,161.95
161.406,161.566
161.598,161.79
161.822,161.95
161.982,162.142
162.174,162.366
162.398,162.59
162.398,162.782
162.622,162.782
162.814,163.006
162.814,163.614
163.038,163.23
163.262,163.422
163.454,163.614
163.646,163.838
163.87,164.062
164.094,164.254
164.094,164.414
164.254,164.414
164.446,164.638
164.446,165.278
164.67,164.862
164.894,165.054
165.086,165.278
165.31,165.502
165.534,165.726
165.758,165.918
165.758,166.142
165.95,166.142
166.174,166.366
166.174,168.702
166.398,166.59
166.622,166.782
166.814,167.006
167.038,167.23
167.262,167.422
167.454,167.646
167.678,167.87
167.902,168.094
168.126,168.286
168.318,168.51
168.542,168.702
168.734,168.926
168.958,169.118
169.15,169.342
169.374,169.566
169.598,169.758
169.79,169.982
170.014,170.174
170.206,170.366
170.398,170.526
170.558,170.75
170.782,170.974
170.974,171.166
171.198,171.358
171.39,171.518
171.55,171.742
171.774,171.934
171.966,172.126
172.158,172.35
172.382,172.51
172.542,172.702
172.734,172.894
172.926,173.118
173.15,173.31
173.342,173.502
173.534,173.662
173.694,173.854
173.886,174.014
174.046,174.238
174.27,174.462
174.494,174.558
174.59,174.686
174.718,174.878
174.91,175.198
175.23,175.358
175.39,175.486
175.518,175.646
175.678,175.774
175.806,175.934
175.966,176.062
176.094,176.926
176.958,177.342
176.958,177.342
177.374,177.822
177.854,178.238
177.854,178.238
178.27,178.462
178.494,178.686
178.718,179.102
179.134,179.614
179.646,180.478
179.646,180.478
180.51,180.894
180.926,181.118
181.15,181.342
181.374,181.534
181.566,181.758
181.79,181.886
181.918,181.982
182.014,182.206
182.238,182.398
182.43,182.622
182.654,182.846
182.878,183.038
183.038,183.198
183.23,183.422
183.454,183.646
183.678,183.838
183.87,184.03
184.062,184.222
184.254,184.446
184.478,184.574
184.606,184.798
184.83,185.022
185.054,185.214
185.246,185.406
185.438,185.566
185.598,185.79
185.822,185.982
186.014,186.206
186.238,186.43
186.462,187.326
186.462,187.326
187.358,187.742
187.358,187.742
187.774,188.222
188.254,188.638
188.254,188.638
188.67,189.15
189.182,189.566
189.182,189.566
189.598,190.206
190.238,191.966
190.238,191.966
